pred,pred_trait,mean_prey_trait,trait_source_pred,nprey
Oreochromis niloticus,39.348,39.172534482758614,ThermoFresh,2
Oncorhynchus gorbuscha,26.95,27.34,Olden,2
Salmo salar,30.33264957264956,33.27963490999438,ThermoFresh,27
Osmerus mordax,25.899999999999995,31.42972222222222,ThermoFresh,3
Labidesthes sicculus,36.0,36.0,ThermoFresh,1
Lepomis macrochirus,36.8636,35.29310615232226,ThermoFresh,6
Oreochromis mossambicus,42.638000000000005,42.638000000000005,ThermoFresh,1
Danio rerio,40.67833333333332,40.07,ThermoFresh,1
Gambusia affinis,38.99706896551722,37.751770935960586,ThermoFresh,10
Squalius cephalus,36.480000000000004,30.70873122978387,ThermoFresh,18
Ameiurus natalis,38.58,38.58,ThermoFresh,1
Alosa pseudoharengus,30.462499999999995,33.145277777500006,ThermoFresh,1
Sander vitreus,35.375,31.524741603819727,ThermoFresh,36
Anguilla dieffenbachii,35.24,27.903333333333332,Olden,1
Lates niloticus,38.62526315789473,38.26025101214575,ThermoFresh,13
Gobiomorphus cotidianus,33.35,27.903333333333332,ThermoFresh,1
Leucaspius delineatus,34.356666666666676,29.92015625,ThermoFresh,16
Oncorhynchus mykiss,28.675540540540524,29.15153377970289,ThermoFresh,16
Notemigonus crysoleucas,33.096666666666664,38.89,ThermoFresh,1
Paralichthys olivaceus,35.23,35.4875,Olden,4
Cottus aleuticus,29.52,30.151777777777777,Olden,3
Richardsonius balteatus,28.63,33.714999999999996,Olden,2
Coregonus peled,27.24,29.584000000000003,Olden,5
Scardinius erythrophthalmus,34.94,38.515,Olden,1
Engraulis japonicus,34.1,34.1,Olden,1
Auxis thazard,33.83,34.17333333333333,Olden,3
Clupea harengus,25.43,29.144999999999996,Olden,4
Neolamprologus savoryi,37.86,37.83,Olden,1
Pygocentrus nattereri,33.61,39.3,Olden,1
Hepsetus odoe,37.21,39.99,Olden,2
Xiphias gladius,34.290000000000006,31.81933177933178,Olden,11
Holacanthus passer,37.9,37.91,Olden,1
Sander volgensis,34.04,33.75,Olden,1
Pagellus bogaraveo,32.33,34.333333333333336,Olden,1
Huso huso,34.94000000000001,33.47693766438779,Olden,20
Eleotris fusca,38.67,39.59,Olden,2
Silurus glanis,36.15000000000004,33.062555270871485,Olden,68
Chitala chitala,35.22,38.35808344198175,Olden,2
Hiodon alosoides,32.78,30.719999999999995,Olden,7
Labroides dimidiatus,38.03,38.45,Olden,1
Limnothrissa miodon,34.26,34.24,Olden,1
Leptocottus armatus,29.160000000000004,31.23511764705882,Olden,5
Trachurus japonicus,34.41,34.1,Olden,1
Hypoplectrus nigricans,37.33,37.614999999999995,Olden,2
Megalops atlanticus,38.0,38.0,Olden,1
Bagrus docmak,39.49,39.033,Olden,5
Trematomus pennellii,12.34,15.3,Olden,5
Centropristis striata,34.65,36.73044444444445,Olden,6
Amia calva,36.44,34.53919470675276,Olden,12
Gobiomorphus breviceps,32.86,32.86,Olden,1
Gadus morhua,25.389999999999997,30.041308823529413,Olden,10
Morone americana,34.949999999999996,33.696416666666664,Olden,6
Elops saurus,39.01,39.357033333333334,Olden,5
Elops machnata,36.92,37.449,Olden,2
Elops hawaiensis,38.62,41.596500000000006,Olden,2
Schilbe mystus,39.74,37.15169590643275,Olden,9
Scomberomorus niphonius,34.76,34.3375,Olden,4
Synodontis zambezensis,38.46,34.26,Olden,1
Anchoa mitchilli,36.68,36.435,Olden,2
Channa micropeltes,40.35,39.348,Olden,1
Trinectes maculatus,37.31,37.31,Olden,1
Anguilla marmorata,38.91,39.727500000000006,Olden,1
Sander canadensis,32.29,33.401404385964916,Olden,19
Notothenia rossii,17.61,15.56,Olden,2
Alosa macedonica,34.12,34.09194444444445,Olden,3
Hydrocynus brevis,37.76,39.74,Olden,1
Kajikia audax,37.38999999999999,33.26857142857143,Olden,7
Anguilla rostrata,36.6,32.622,Olden,8
Galaxias vulgaris,27.92,30.39,Olden,2
Sperata seenghala,40.22,33.54847457627118,Olden,1
Lepisosteus osseus,35.98,35.773125,Olden,4
Galaxias brevipinnis,29.51,30.671385135135136,Olden,4
Chaenocephalus aceratus,16.29,15.953999999999999,Olden,5
Acipenser gueldenstaedtii,33.69,34.023,Olden,2
Hypoplectrus aberrans,37.36,37.614999999999995,Olden,2
Trachinotus carolinus,38.8,38.8,Olden,1
Acipenser persicus,34.64,34.93,Olden,2
Ponticola kessleri,34.02999999999998,33.366256686817856,Olden,45
Thunnus alalunga,33.98,33.12857142857143,Olden,7
Gobius cobitis,33.8,36.02,ThermoFresh,1
Noturus stigmosus,36.69,37.0,Olden,1
Lipophrys trigloides,35.18,34.12083333333334,Olden,4
Sarda chiliensis,29.94,32.4475,Olden,4
Sarda orientalis,34.35,34.1,Olden,1
Auxis rochei,34.0,33.64666666666667,Olden,3
Euthynnus affinis,34.77,34.218,Olden,5
Archosargus probatocephalus,34.84,34.84,Olden,1
Scomberomorus tritor,35.5,35.82,Olden,1
Labrus bergylta,30.71,30.71,Olden,1
Pomoxis annularis,31.91,35.33453333333333,Olden,3
Scomber scombrus,30.420000000000005,28.056,Olden,5
Euthynnus alletteratus,33.67000000000001,35.63999999999999,Olden,6
Cynoscion nebulosus,37.38,37.889051282051284,Olden,13
Tautogolabrus adspersus,29.28,25.43,Olden,1
Sardinops sagax,31.24,34.1,Olden,1
Catostomus catostomus,27.27,25.748571428571427,Olden,1
Istiophorus platypterus,37.1,33.947500000000005,Olden,4
Stenodus leucichthys,27.91,27.562786989795917,Olden,7
Leuciscus aspius,34.92000000000001,32.948214285714286,Olden,7
Coryphoblennius galerita,32.79,33.76777777777778,Olden,3
Barbus plebejus,32.5,33.72752450980392,Olden,24
Cottus gobio,30.32,31.39039705882353,Olden,4
Galaxias fasciatus,31.02,31.35,Olden,1
Channa marulius,37.44,43.16769230769232,Olden,1
Tenualosa ilisha,36.04,36.04,Olden,1
Astyanax bimaculatus,39.3,39.727500000000006,Olden,1
Kajikia albida,37.04,32.864,Olden,5
Makaira nigricans,37.60000000000001,34.82727272727272,Olden,11
Lutjanus apodus,39.89999999999999,38.17416666666666,ThermoFresh,12
Thalassoma bifasciatum,38.51,39.47,Olden,1
Thunnus thynnus,35.86000000000001,29.560378510378513,Olden,7
Umbra limi,37.68,33.00666666666667,Olden,3
Acanthogobius flavimanus,35.59,33.571666666666665,Olden,2
Thaleichthys pacificus,27.43,27.43,Olden,1
Morone mississippiensis,37.05,40.90258333333334,Olden,2
Trematomus hansoni,13.66,15.3,Olden,5
Perca flavescens,30.699999999999996,31.704042253521127,Olden,8
Pelecus cultratus,34.54,29.557619047619045,Olden,3
Clarias gariepinus,37.71,39.8262,Olden,5
Barbus lacerta,37.21,25.748571428571427,Olden,1
Istiompax indica,37.21,34.36333333333334,Olden,6
Paralabrax clathratus,33.449999999999996,33.65166666666667,Olden,6
Gymnarchus niloticus,38.25,39.15,Olden,1
Chanodichthys erythropterus,34.84,33.964,Olden,5
Megalops cyprinoides,38.1,41.596500000000006,Olden,2
Chondrostoma nasus,34.03,27.683076923076925,Olden,1
Bodianus rufus,38.69,39.47,Olden,1
Sarda australis,31.14,31.24,Olden,1
Solea solea,34.15,29.52,Olden,2
Monopterus albus,36.99,39.727500000000006,Olden,1
Pimephales notatus,33.45333333333333,36.36,ThermoFresh,1
Katsuwonus pelamis,34.28,34.03666666666667,Olden,3
Pomoxis nigromaculatus,35.21,33.02496,Olden,5
Astyanax mexicanus,38.02,38.02,Olden,1
Perissodus microlepis,37.82000000000001,37.888235294117656,Olden,17
Aplodinotus grunniens,33.84,31.02,Olden,1
Silurus asotus,35.55,34.06125,Olden,4
Salvelinus leucomaenis,25.28,26.22,Olden,2
Tetrapturus angustirostris,37.8,34.285,Olden,2
Scomberomorus regalis,35.86000000000001,38.388461538461534,Olden,13
Etroplus maculatus,41.39,41.416666666666664,Olden,1
Engraulis mordax,33.4,33.4,Olden,1
Silurus meridionalis,39.37,36.63,Olden,1
Ptychocheilus grandis,34.37,32.957718468468464,Olden,4
Schilbe intermedius,39.15,37.63,Olden,6
Pterois volitans,36.92,38.549,Olden,5
Acipenser nudiventris,35.45,34.32,Olden,1
Acanthocybium solandri,35.800000000000004,34.441250000000004,Olden,8
Clarias batrachus,37.37,39.19,Olden,1
Esox niger,36.36,33.765,Olden,2
Osmerus dentex,25.49,26.95,Olden,1
Clarias stappersii,37.19,37.68,Olden,1
Clarias anguillaris,38.52,39.67,Olden,2
Scorpaena porcus,35.57,35.42,Olden,5
Thunnus obesus,34.82,33.6225,Olden,8
Thunnus atlanticus,35.77,35.77,Olden,1
Pylodictis olivaris,37.59000000000001,36.634593544045295,Olden,12
Lipophrys pholis,34.18,33.76777777777778,Olden,3
Ictalurus furcatus,38.04,33.885416666666664,Olden,6
Coregonus albula,28.68,28.68,Olden,1
Lepidiolamprologus elongatus,37.87,37.855000000000004,Olden,2
Alosa alosa,30.73,25.43,Olden,1
Ptychocheilus oregonensis,30.36,28.782187500000006,Olden,1
Thunnus maccoyii,29.45,33.98,Olden,1
Oblada melanura,34.27,34.27,Olden,1
Butis butis,39.69,40.55500000000001,Olden,1
Elopichthys bambusa,35.77,39.5,Olden,1
Hypsypops rubicundus,34.22,34.22,Olden,1
Lepidiolamprologus profundicola,38.0,37.83,Olden,1
Plecodus straeleni,37.74,37.937435897435876,Olden,39
Thunnus albacares,34.959999999999994,35.56214285714286,Olden,14
Hucho hucho,29.580000000000013,33.70668865968211,Olden,31
Petrus rupestris,33.89,34.35666666666667,Olden,1
Cottus asper,29.800000000000004,29.939154534541085,Olden,7
Scomber japonicus,32.4,33.605000000000004,Olden,4
Wallago attu,39.64,38.35808344198175,Olden,2
Gillichthys mirabilis,37.983333333333334,33.105000000000004,ThermoFresh,2
Coregonus lavaretus,29.55,29.115000000000002,Olden,2
Nandus nandus,39.17,40.67833333333332,Olden,1
Salmo labrax,32.32000000000002,33.978740573152336,Olden,26
Channa punctata,39.040000000000006,39.253,Olden,10
Hydrocynus forskahlii,37.71,36.84166666666667,Olden,6
Catostomus macrocheilus,31.34,30.3895238095238,Olden,1
Clupea pallasii,27.25,27.34,ThermoFresh,2
Scomberomorus commerson,35.83,39.848333333333336,Olden,3
Pterogymnus laniarius,33.84,31.24,Olden,1
Paralichthys lethostigma,38.33,36.668000000000006,Olden,5
Ocyurus chrysurus,36.39,38.66,Olden,1
Salaria fluviatilis,34.96000000000002,32.88836878676714,Olden,59
Ameiurus catus,35.83,35.3,Olden,1
Serranochromis angusticeps,37.96,39.15,Olden,1
Scomberomorus munroi,36.42,31.24,Olden,1
Channa striata,38.25,38.35808344198175,Olden,2
Coregonus autumnalis,25.93,25.49,Olden,1
Carasobarbus canis,38.65,38.21666666666666,Olden,1
Epinephelus tauvina,38.14,40.55500000000001,Olden,1
Sarda sarda,32.26,33.093999999999994,Olden,5
Alosa fallax,32.30999999999996,32.92937147010538,Olden,62
Lepidonotothen squamifrons,16.28,16.28,Olden,1
Serranus atricauda,34.96,34.244285714285716,Olden,7
Neochanna burrowsius,29.76,29.76,Olden,1
Pagrus major,35.06,33.25,Olden,2
Eleotris acanthopoma,39.35,39.59,Olden,2
Ambloplites rupestris,33.86,33.596666666666664,Olden,2
Hydrocynus vittatus,37.02,37.419999999999995,Olden,8
Scomber australasicus,32.53,34.1,Olden,1
Atherina boyeri,36.43,36.43,Olden,1
Padogobius bonelli,31.740000000000006,32.92125123758462,Olden,51
Abudefduf saxatilis,39.47,38.66,Olden,1
Chionodraco rastrospinosus,14.73,17.46,Olden,1
Notothenia coriiceps,18.9,15.3,Olden,5
Strongylura marina,38.36,36.68,Olden,1
Osmerus eperlanus,27.8,26.615000000000002,Olden,2
Micropterus coosae,37.82,37.69,Olden,1
Scartella cristata,36.16,36.16,Olden,1
Noturus flavus,36.79,33.30096774193549,Olden,1
Scomberomorus queenslandicus,36.61,31.24,Olden,1
