"dataset","consumer","degree","degree_all_taxa","self_links","metrics","n_metrics","consumer_taxon_status","consumer_taxon_evidence"
"GloBI consumers","Chanos chanos",19,163,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Charina bottae",10,20,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cheimarrichthys fosteri",7,28,0,"lt50",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chelon ramada",29,197,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chelonodon patoca",1,19,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chionodraco rastrospinosus",7,13,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chitala chitala",2,10,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chondrostoma nasus",1,13,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chondrostoma soetta",53,67,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chrosomus neogaeus",10,45,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Chrysemys picta",2,6,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Clarias anguillaris",3,28,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Clarias batrachus",1,40,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Clarias gariepinus",8,133,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Clarias stappersii",1,11,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Clupea harengus",155,358,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Clupea pallasii",21,93,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cobitis bilineata",565,642,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cobitis taenia",565,645,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coenagrion puella",278,305,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coluber constrictor",91,128,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cordulegaster boltonii",192,227,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coregonus albula",16,71,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coregonus artedi",24,59,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coregonus autumnalis",6,36,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coregonus clupeaformis",29,67,0,"ctmax;lt50",2,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coregonus lavaretus",9,95,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coregonus peled",6,16,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Coryphoblennius galerita",109,159,1,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cottus aleuticus",3,24,0,"ctmax",1,"animal","verified thermal-source taxonomy"
"GloBI consumers","Cottus asper",7,23,1,"ctmax",1,"animal","verified thermal-source taxonomy"
