"query_name","source_taxon_name","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","consumer","reported_consumer","resource_name","resource_species","species_level","self_link","resource_key_all"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13896988","Niphargus auerbachi","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus auerbachi","Salmo labrax","Salmo labrax","Niphargus auerbachi","Niphargus auerbachi",TRUE,FALSE,"niphargus auerbachi"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897056","Niphargus brixianus","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus brixianus","Salmo labrax","Salmo labrax","Niphargus brixianus","Niphargus brixianus",TRUE,FALSE,"niphargus brixianus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q107092721","Niphargus caspary","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus caspary","Salmo labrax","Salmo labrax","Niphargus caspary","Niphargus caspary",TRUE,FALSE,"niphargus caspary"
"Salmo labrax","Salmo labrax","preysOn","WD:Q3342094","Niphargus fontanus","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus fontanus","Salmo labrax","Salmo labrax","Niphargus fontanus","Niphargus fontanus",TRUE,FALSE,"niphargus fontanus"
"Salmo labrax","Salmo labrax","preysOn","COL:47FZX","Niphargus foreli","Eukaryota | Animalia | Arthropoda | Crustacea | Malacostraca | Amphipoda | Senticaudata | Gammarida | Crangonyctidira | Crangonyctoidea | Niphargidae | Niphargus | Niphargus foreli","Salmo labrax","Salmo labrax","Niphargus foreli","Niphargus foreli",TRUE,FALSE,"niphargus foreli"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897344","Niphargus inopinatus","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus inopinatus","Salmo labrax","Salmo labrax","Niphargus inopinatus","Niphargus inopinatus",TRUE,FALSE,"niphargus inopinatus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897415","Niphargus laisi","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus laisi","Salmo labrax","Salmo labrax","Niphargus laisi","Niphargus laisi",TRUE,FALSE,"niphargus laisi"
"Salmo labrax","Salmo labrax","preysOn","WD:Q107092971","Niphargus muotae","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus muotae","Salmo labrax","Salmo labrax","Niphargus muotae","Niphargus muotae",TRUE,FALSE,"niphargus muotae"
"Salmo labrax","Salmo labrax","preysOn","WD:Q107092972","Niphargus murimali","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus murimali","Salmo labrax","Salmo labrax","Niphargus murimali","Niphargus murimali",TRUE,FALSE,"niphargus murimali"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897707","Niphargus puteanus","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus puteanus","Salmo labrax","Salmo labrax","Niphargus puteanus","Niphargus puteanus",TRUE,FALSE,"niphargus puteanus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897725","Niphargus rhenorhodanensis","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus rhenorhodanensis","Salmo labrax","Salmo labrax","Niphargus rhenorhodanensis","Niphargus rhenorhodanensis",TRUE,FALSE,"niphargus rhenorhodanensis"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897777","Niphargus setiferus","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus setiferus","Salmo labrax","Salmo labrax","Niphargus setiferus","Niphargus setiferus",TRUE,FALSE,"niphargus setiferus"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897831","Niphargus stygius","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus stygius","Salmo labrax","Salmo labrax","Niphargus stygius","Niphargus stygius",TRUE,FALSE,"niphargus stygius"
"Salmo labrax","Salmo labrax","preysOn","WD:Q107093105","Niphargus styx","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus styx","Salmo labrax","Salmo labrax","Niphargus styx","Niphargus styx",TRUE,FALSE,"niphargus styx"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897873","Niphargus thienemanni","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus thienemanni","Salmo labrax","Salmo labrax","Niphargus thienemanni","Niphargus thienemanni",TRUE,FALSE,"niphargus thienemanni"
"Salmo labrax","Salmo labrax","preysOn","WD:Q107093123","Niphargus thuringius","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus thuringius","Salmo labrax","Salmo labrax","Niphargus thuringius","Niphargus thuringius",TRUE,FALSE,"niphargus thuringius"
"Salmo labrax","Salmo labrax","preysOn","WD:Q96378964","Niphargus tonywhitteni","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus tonywhitteni","Salmo labrax","Salmo labrax","Niphargus tonywhitteni","Niphargus tonywhitteni",TRUE,FALSE,"niphargus tonywhitteni"
"Salmo labrax","Salmo labrax","preysOn","WD:Q13897917","Niphargus virei","Ecdysozoa | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Niphargidae | Niphargus | Niphargus virei","Salmo labrax","Salmo labrax","Niphargus virei","Niphargus virei",TRUE,FALSE,"niphargus virei"
"Salmo labrax","Salmo labrax","preysOn","EOL:484644","Notidobia ciliaris","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Amphiesmenoptera | Trichoptera | Integripalpia | Brevitentoria | Sericostomatoidea | Sericostomatidae | Notidobia | Notidobia ciliaris","Salmo labrax","Salmo labrax","Notidobia ciliaris","Notidobia ciliaris",TRUE,FALSE,"notidobia ciliaris"
"Salmo labrax","Salmo labrax","preysOn","EOL:617","Notonectidae","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Paraneoptera | Hemiptera | Heteroptera | Nepomorpha | Notonectoidea | Notonectidae","Salmo labrax","Salmo labrax","Notonectidae",,FALSE,FALSE,"notonectidae"
