consumer,metrics,n_metrics
Cynoscion nebulosus,ctmax,1
Cyprinella lutrensis,ctmax,1
Cyprinella spiloptera,ctmax,1
Cyprinus carpio,ctmax;ctmin;ltmax,3
Danio rerio,ctmax,1
Dasyatis sabina,ctmax,1
Dicentrarchus labrax,ctmax;ctmin,2
Dikerogammarus villosus,ctmax;lt50;ltmax,3
Dinocras cephalotes,ctmax,1
Diplectrum formosum,ctmax,1
Diplodus sargus,ctmax,1
Diplodus vulgaris,ctmax,1
Dorosoma cepedianum,ctmax;lt50,2
Eleotris acanthopomus,ctmax,1
Eleotris fusca,ctmax,1
Eleutherodactylus coqui,ctmax,1
Elgaria multicarinata,ctmax;ctmin,2
Elopichthys bambusa,ctmax,1
Elops hawaiensis,ctmax,1
Elops machnata,ctmax,1
Elops saurus,ctmax,1
Enneacanthus gloriosus,ctmax,1
Epinephelus tauvina,ctmax,1
Erimyzon oblongus,ctmax,1
Erythemis simplicicollis,ctmax,1
Esox lucius,ctmax;lt50,2
Esox masquinongy,ctmax,1
Esox niger,ctmax,1
Etheostoma olmstedi,ctmax,1
Etroplus maculatus,ctmax,1
Euophrys frontalis,ctmax,1
Euthynnus affinis,ctmax,1
Euthynnus alletteratus,ctmax,1
Faxonius rusticus,ctmax,1
Formica sanguinea,ctmax,1
Formica subsericea,ctmax,1
Fundulus diaphanus,ctmax,1
Fundulus grandis,ctmax,1
Gadus morhua,ctmax,1
Galaxias brevipinnis,ctmax,1
Galaxias fasciatus,ctmax,1
Galaxias vulgaris,ctmax,1
Gambelia wislizenii,ctmin,1
Gambusia affinis,ctmax;ctmin,2
Gammarus pulex,ctmax;lt50;ltmax,3
Gasterosteus aculeatus,ctmax,1
Gillichthys mirabilis,ctmax,1
Glossiphonia complanata,ltmax,1
Gobio gobio,ctmax,1
Gobiocichla ethelwynnae,ctmax,1
Gobiomorphus breviceps,ctmax,1
Gobiomorphus cotidianus,ctmax;lt50,2
Gobius cobitis,ctmax,1
Gobius niger,ctmax,1
Gobius paganellus,ctmax;lt50,2
Gymnarchus niloticus,ctmax,1
Gymnocephalus cernua,ctmax,1
Haemulon flavolineatum,ctmax,1
Hagenius brevistylus,ctmax,1
Halichoeres bivittatus,ctmax,1
Halichoeres garnoti,ctmax,1
Halichoeres maculipinna,ctmax,1
Halichoeres poeyi,ctmax,1
Halichoeres radiatus,ctmax,1
Halichoeres semicinctus,ctmax,1
Helobdella stagnalis,ctmax;ltmax,2
Heloderma suspectum,ctmax,1
Hemachatus haemachatus,ctmax,1
Hemidactylus frenatus,ctmax;ctmin,2
Hemidactylus turcicus,ctmax,1
Hepsetus odoe,ctmax,1
Hiodon alosoides,ctmax,1
