predator,prey
Salvelinus fontinalis,Serratella ignita
Salvelinus fontinalis,Sialis lutaria
Salvelinus fontinalis,Ischnura pumilio
Salvelinus fontinalis,Carassius carassius
Salvelinus fontinalis,Ephemera danica
Salvelinus fontinalis,Pseudorasbora parva
Salvelinus fontinalis,Squalius cephalus
Salvelinus fontinalis,Carassius gibelio
Salvelinus fontinalis,Salvelinus namaycush
Salvelinus fontinalis,Ctenopharyngodon idella
Salvelinus fontinalis,Coenagrion puella
Salvelinus fontinalis,Calopteryx virgo
Salvelinus fontinalis,Ischnura elegans
Salvelinus fontinalis,Carassius auratus
Salvelinus fontinalis,Gasterosteus aculeatus
Salvelinus fontinalis,Caenis luctuosa
Salvelinus fontinalis,Agabus didymus
Salvelinus fontinalis,Agapetus fuscipes
Micropterus floridanus,Neogobius melanostomus
Gobio gobio,Chironomus thummi
Gobio gobio,Agabus brunneus
Gobio gobio,Deronectes latus
Gobio gobio,Deronectes opatrinus
Gobio gobio,Deronectes moestus
Gobio gobio,Hydroporus memnonius
Gobio gobio,Hydroporus sabaudus
Gobio gobio,Ecdyonurus insignis
Gobio gobio,Gammarus tigrinus
Gobio gobio,Serratella ignita
Gobio gobio,Ischnura pumilio
Gobio gobio,Ephemera danica
Gobio gobio,Squalius cephalus
Gobio gobio,Coenagrion puella
Gobio gobio,Calopteryx virgo
Gobio gobio,Ischnura elegans
Gobio gobio,Agabus didymus
Gobio gobio,Caenis luctuosa
Gobio gobio,Elmis aenea
Gobio gobio,Agapetus fuscipes
Gobio gobio,Leuctra fusca
Gobio gobio,Dinocras cephalotes
Gobio gobio,Rhyacophila dorsalis
Gobio gobio,Deronectes aubei
Gobio gobio,Echinogammarus ischnus
Gobio gobio,Limnius volckmari
Gobio gobio,Aphelocheirus aestivalis
Gobio gobio,Dikerogammarus villosus
Gobio gobio,Nemurella pictetii
Gobio gobio,Ancylus fluviatilis
Gobio gobio,Echinogammarus berilloni
Gobio gobio,Astacus astacus
Gobio gobio,Ecdyonurus venosus
Gobio gobio,Agabus bipustulatus
Gobio gobio,Baetis rhodani
Gobio gobio,Baetis vernus
Gobio gobio,Rhithrogena semicolorata
Gobio gobio,Drusus annulatus
Semotilus atromaculatus,Phagocata gracilis
Semotilus atromaculatus,Daphnia galeata
Semotilus atromaculatus,Etheostoma nigrum
Gymnocephalus cernua,Asellus aquaticus
Gymnocephalus cernua,Pomatoschistus microps
Gymnocephalus cernua,Crangon crangon
