Family;Species;Realm affinity;CTmax;SD CTmax
Acipenseridae;Acipenser medirostris;Freshwater;33,36;0,16
Acipenseridae;Acipenser naccarii;Freshwater;33,83;1,12
Acipenseridae;Acipenser nudiventris;Freshwater;35,45;1,45
Acipenseridae;Acipenser oxyrinchus;Freshwater;33,41;2,52
Acipenseridae;Acipenser persicus;Freshwater;34,64;1,12
Acipenseridae;Acipenser ruthenus;Freshwater;32,16;1,14
Acipenseridae;Acipenser stellatus;Freshwater;34,66;1,58
Acipenseridae;Acipenser sturio;Freshwater;32,52;2,52
Acipenseridae;Acipenser transmontanus;Freshwater;32,83;1,33
Acipenseridae;Huso huso;Freshwater;34,94;1,71
Acipenseridae;Scaphirhynchus albus;Freshwater;35,93;1,99
Acipenseridae;Scaphirhynchus platorynchus;Freshwater;35,99;2,02
Acipenseridae;Scaphirhynchus suttkusi;Freshwater;37,47;2,02
Adrianichthyidae;Oryzias curvinotus;Freshwater;39,49;2,45
Adrianichthyidae;Oryzias dancena;Freshwater;40,01;2,45
Adrianichthyidae;Oryzias mekongensis;Freshwater;40,02;2,45
Adrianichthyidae;Oryzias minutillus;Freshwater;39,60;2,45
Akysidae;Akysis prashadi;Freshwater;38,62;2,11
Albulidae;Albula glossodonta;Marine;38,28;2,70
Albulidae;Albula vulpes;Marine;36,39;0,16
Albulidae;Pterothrissus gissu;Marine;37,28;2,66
Alestidae;Alestes baremoze;Freshwater;37,51;2,89
Alestidae;Alestes macrophthalmus;Freshwater;36,03;2,89
Alestidae;Alestopetersius caudalis;Freshwater;36,49;2,89
Alestidae;Alestopetersius hilgendorfi;Freshwater;36,63;2,89
Alestidae;Arnoldichthys spilopterus;Freshwater;37,99;2,36
Alestidae;Bathyaethiops breuseghemi;Freshwater;37,22;2,88
Alestidae;Brycinus affinis;Freshwater;36,43;3,02
Alestidae;Brycinus carolinae;Freshwater;37,18;3,14
Alestidae;Brycinus imberi;Freshwater;36,69;3,13
Alestidae;Brycinus kingsleyae;Freshwater;36,12;2,74
Alestidae;Brycinus lateralis;Freshwater;35,75;3,02
Alestidae;Brycinus longipinnis;Freshwater;37,57;2,60
Alestidae;Brycinus macrolepidotus;Freshwater;37,48;2,35
Alestidae;Brycinus nurse;Freshwater;37,63;2,89
Alestidae;Brycinus opisthotaenia;Freshwater;36,61;2,89
Alestidae;Brycinus taeniurus;Freshwater;36,92;3,02
Alestidae;Bryconaethiops macrops;Freshwater;36,23;2,89
Alestidae;Bryconaethiops microstoma;Freshwater;36,35;2,74
Alestidae;Hemigrammopetersius barnardi;Freshwater;37,10;3,17
Alestidae;Hydrocynus brevis;Freshwater;37,76;3,02
Alestidae;Hydrocynus forskahlii;Freshwater;37,71;3,17
Alestidae;Hydrocynus goliath;Freshwater;36,95;3,13
Alestidae;Hydrocynus vittatus;Freshwater;37,02;3,17
Alestidae;Ladigesia roloffi;Freshwater;37,73;3,14
Alestidae;Micralestes acutidens;Freshwater;36,16;3,13
Alestidae;Micralestes occidentalis;Freshwater;37,82;3,13
Alestidae;Micralestes pabrensis;Freshwater;37,78;3,13
Alestidae;Phenacogrammus ansorgii;Freshwater;37,56;2,88
Alestidae;Phenacogrammus aurantiacus;Freshwater;36,85;3,02
Alestidae;Phenacogrammus interruptus;Freshwater;37,54;3,13
Alestidae;Rhabdalestes maunensis;Freshwater;35,99;3,17
Ambassidae;Ambassis agrammus;Freshwater;37,58;0,15
Ambassidae;Parambassis ranga;Freshwater;39,35;1,87
Ambassidae;Parambassis wolffii;Freshwater;39,25;1,87
Amblycipitidae;Amblyceps apangi;Freshwater;36,81;2,51
Amblycipitidae;Amblyceps caecutiens;Freshwater;38,26;2,51
Amblycipitidae;Amblyceps foratum;Freshwater;39,40;2,54
Amblycipitidae;Amblyceps mangois;Freshwater;38,06;2,54
Amblycipitidae;Amblyceps serratum;Freshwater;39,97;2,51
Amblycipitidae;Liobagrus kingi;Freshwater;36,00;2,22
Amblyopsidae;Chologaster cornuta;Freshwater;36,98;2,36
Amiidae;Amia calva;Freshwater;36,44;0,16
Amphiliidae;Amphilius atesuensis;Freshwater;40,08;2,11
Amphiliidae;Amphilius jacksonii;Freshwater;37,35;2,19
Amphiliidae;Amphilius platychir;Freshwater;39,91;2,08
Amphiliidae;Amphilius rheophilus;Freshwater;40,00;2,38
Amphiliidae;Belonoglanis tenuis;Freshwater;39,26;2,54
Amphiliidae;Phractura longicauda;Freshwater;39,43;2,54
Anabantidae;Anabas testudineus;Freshwater;39,09;0,18
Anabantidae;Ctenopoma acutirostre;Freshwater;39,82;2,84
Anabantidae;Ctenopoma kingsleyae;Freshwater;40,28;2,54
Anabantidae;Ctenopoma muriei;Freshwater;39,29;2,32
Anabantidae;Ctenopoma nebulosum;Freshwater;40,76;2,32
Anabantidae;Ctenopoma nigropannosum;Freshwater;39,94;2,25
Anabantidae;Ctenopoma ocellatum;Freshwater;39,72;2,84
Anabantidae;Ctenopoma petherici;Freshwater;40,95;2,63
Anabantidae;Microctenopoma ansorgii;Freshwater;39,86;2,84
Anabantidae;Microctenopoma damasi;Freshwater;39,06;2,63
Anabantidae;Microctenopoma fasciolatum;Freshwater;39,79;2,54
Anabantidae;Microctenopoma nanum;Freshwater;39,70;2,84
Anabantidae;Sandelia capensis;Freshwater;36,94;2,28
Anguillidae;Anguilla anguilla;Freshwater;35,12;1,43
Anguillidae;Anguilla bicolor;Freshwater;40,22;1,47
Anguillidae;Anguilla dieffenbachii;Freshwater;35,24;0,16
Anguillidae;Anguilla marmorata;Freshwater;38,91;1,47
Anguillidae;Anguilla mossambica;Freshwater;39,04;1,27
Anguillidae;Anguilla rostrata;Freshwater;36,60;1,43
Aphredoderidae;Aphredoderus sayanus;Freshwater;36,75;2,36
Aplocheilidae;Aplocheilus blockii;Freshwater;39,89;2,52
Aplocheilidae;Aplocheilus lineatus;Freshwater;40,23;2,52
Aplocheilidae;Aplocheilus panchax;Freshwater;39,23;2,45
Aplocheilidae;Pachypanchax omalonotus;Freshwater;37,45;2,45
Apogonidae;Apogon maculatus;Marine;36,97;0,21
Apogonidae;Apogon pacificus;Marine;37,51;0,15
Apogonidae;Ostorhinchus aureus;Marine;38,45;0,16
Arapaimidae;Heterotis niloticus;Freshwater;38,60;3,77
Ariidae;Arius arius;Freshwater;40,53;2,09
Ariidae;Arius gagora;Freshwater;40,94;2,05
Ariidae;Arius madagascariensis;Freshwater;39,81;2,09
Atherinidae;Atherina boyeri;Freshwater;36,43;1,90
Atherinidae;Craterocephalus stercusmuscarum;Freshwater;37,91;0,15
Atherinidae;Teramulus waterloti;Freshwater;37,32;1,94
Atherinopsidae;Atherinops affinis;Freshwater;34,06;0,16
Atherinopsidae;Labidesthes sicculus;Freshwater;35,23;0,17
Atherinopsidae;Leuresthes tenuis;Marine;39,57;0,17
Badidae;Badis assamensis;Freshwater;38,01;2,95
Badidae;Badis badis;Freshwater;36,81;2,95
Badidae;Badis blosyrus;Freshwater;36,18;2,95
Badidae;Badis corycaeus;Freshwater;38,41;2,51
Badidae;Badis kanabos;Freshwater;38,51;2,95
Badidae;Badis khwae;Freshwater;39,79;2,95
Badidae;Badis ruber;Freshwater;39,43;2,95
Badidae;Badis siamensis;Freshwater;40,15;2,74
Badidae;Dario dario;Freshwater;36,31;2,40
Badidae;Dario hysginon;Freshwater;38,84;2,40
Bagridae;Bagrus docmak;Freshwater;39,49;2,44
Bagridae;Batasio batasio;Freshwater;39,27;2,20
Bagridae;Batasio tengana;Freshwater;39,58;2,26
Bagridae;Batasio tigrinus;Freshwater;40,26;2,26
Bagridae;Chandramara chandramara;Freshwater;39,97;2,20
Bagridae;Hemibagrus guttatus;Freshwater;39,29;2,16
Bagridae;Hemibagrus nemurus;Freshwater;40,06;2,53
Bagridae;Hemibagrus wyckioides;Freshwater;40,21;2,53
Bagridae;Horabagrus nigricollaris;Freshwater;39,96;1,96
Bagridae;Mystus bocourti;Freshwater;40,64;2,27
Bagridae;Mystus cavasius;Freshwater;35,01;2,44
Bagridae;Mystus leucophasis;Freshwater;40,29;2,44
Bagridae;Mystus oculatus;Freshwater;40,66;2,16
Bagridae;Mystus pulcher;Freshwater;39,32;2,27
Bagridae;Mystus tengara;Freshwater;39,17;2,44
Bagridae;Mystus vittatus;Freshwater;37,82;2,27
Bagridae;Nanobagrus fuscus;Freshwater;39,81;2,03
Bagridae;Pseudobagrus kyphus;Freshwater;38,65;1,35
Bagridae;Pseudobagrus vachellii;Freshwater;37,47;0,16
Bagridae;Pseudomystus siamensis;Freshwater;40,23;2,03
Bagridae;Pseudomystus stenomus;Freshwater;40,09;2,03
Bagridae;Rita gogra;Freshwater;40,16;2,08
Bagridae;Rita rita;Freshwater;39,95;2,08
Bagridae;Sperata aor;Freshwater;38,68;2,53
Bagridae;Sperata seenghala;Freshwater;40,22;2,53
Balitoridae;Acanthocobitis botia;Freshwater;34,76;2,52
Balitoridae;Acanthocobitis pavonacea;Freshwater;37,20;2,25
Balitoridae;Acanthocobitis zonalternans;Freshwater;38,37;2,52
Balitoridae;Balitora annamitica;Freshwater;38,39;2,63
Balitoridae;Balitora kwangsiensis;Freshwater;37,83;2,36
Balitoridae;Barbatula barbatula;Freshwater;33,29;0,15
Balitoridae;Barbucca diabolica;Freshwater;38,78;2,47
Balitoridae;Erromyzon sinensis;Freshwater;38,29;2,46
Balitoridae;Homaloptera leonardi;Freshwater;38,74;2,96
Balitoridae;Homaloptera parclitella;Freshwater;38,69;2,96
Balitoridae;Homaloptera smithi;Freshwater;39,16;2,46
Balitoridae;Homaloptera zollingeri;Freshwater;39,22;2,79
Balitoridae;Liniparhomaloptera disparis;Freshwater;38,22;2,46
Balitoridae;Nemacheilus corica;Freshwater;35,45;2,25
Balitoridae;Nemacheilus masyae;Freshwater;39,23;2,32
Balitoridae;Nemacheilus rueppelli;Freshwater;39,40;2,35
Balitoridae;Nemacheilus subfusca;Freshwater;32,17;2,84
Balitoridae;Nemacheilus triangularis;Freshwater;38,81;2,25
Balitoridae;Oreonectes platycephalus;Freshwater;38,10;1,95
Balitoridae;Oxynoemacheilus bureschi;Freshwater;34,56;2,60
Balitoridae;Oxynoemacheilus merga;Freshwater;31,62;2,52
Balitoridae;Oxynoemacheilus pindus;Freshwater;35,58;2,60
Balitoridae;Schistura balteata;Freshwater;39,12;2,36
Balitoridae;Schistura beavani;Freshwater;35,63;2,84
Balitoridae;Schistura bucculenta;Freshwater;37,37;2,23
Balitoridae;Schistura fasciolata;Freshwater;37,41;2,13
Balitoridae;Schistura kloetzliae;Freshwater;37,17;2,60
Balitoridae;Schistura nicholsi;Freshwater;39,38;2,23
Balitoridae;Schistura reidi;Freshwater;38,14;2,49
Balitoridae;Schistura rupecula;Freshwater;36,88;2,80
Balitoridae;Schistura savona;Freshwater;37,52;2,35
Balitoridae;Schistura sexcauda;Freshwater;39,19;2,48
Balitoridae;Schistura spilota;Freshwater;39,70;2,48
Balitoridae;Schistura vinciguerrae;Freshwater;36,72;2,77
Balitoridae;Sectoria heterognathos;Freshwater;36,94;2,23
Balitoridae;Sewellia lineolata;Freshwater;39,22;2,47
Balitoridae;Sinogastromyzon wui;Freshwater;37,40;2,36
Balitoridae;Triplophysa stenura;Freshwater;27,49;1,96
Balitoridae;Triplophysa stewarti;Freshwater;27,31;1,96
Balitoridae;Tuberoschistura baenzigeri;Freshwater;38,70;2,11
Balitoridae;Yunnanilus brevis;Freshwater;38,08;2,52
Bedotiidae;Bedotia geayi;Freshwater;36,70;2,34
Bedotiidae;Bedotia longianalis;Freshwater;37,80;1,96
Bedotiidae;Bedotia madagascariensis;Freshwater;37,65;2,23
Bedotiidae;Bedotia marojejy;Freshwater;37,21;1,92
Bedotiidae;Bedotia tricolor;Freshwater;37,22;2,34
Bedotiidae;Rheocles alaotrensis;Freshwater;37,22;1,89
Bedotiidae;Rheocles derhami;Freshwater;36,94;1,92
Bedotiidae;Rheocles lateralis;Freshwater;35,65;1,92
Bedotiidae;Rheocles vatosoa;Freshwater;37,03;1,92
Bedotiidae;Rheocles wrightae;Freshwater;37,09;1,92
Belonidae;Strongylura marina;Freshwater;38,36;2,45
Belonidae;Xenentodon cancila;Freshwater;37,39;2,45
Blenniidae;Aidablennius sphynx;Marine;36,80;2,36
Blenniidae;Blennius ocellaris;Marine;35,30;2,15
Blenniidae;Chasmodes saburrae;Marine;38,80;2,49
Blenniidae;Coryphoblennius galerita;Marine;32,79;0,15
Blenniidae;Ecsenius bicolor;Marine;38,81;2,41
Blenniidae;Ecsenius midas;Marine;38,83;2,41
Blenniidae;Hypsoblennius hentz;Marine;36,51;2,49
Blenniidae;Lipophrys pholis;Marine;34,18;0,16
Blenniidae;Lipophrys trigloides;Marine;35,18;0,15
Blenniidae;Meiacanthus grammistes;Marine;39,12;2,94
Blenniidae;Meiacanthus oualanensis;Marine;38,50;2,91
Blenniidae;Meiacanthus smithi;Marine;38,84;2,91
Blenniidae;Microlipophrys adriaticus;Marine;35,82;2,76
Blenniidae;Microlipophrys bauchotae;Marine;37,93;2,42
Blenniidae;Microlipophrys caboverdensis;Marine;37,09;2,76
Blenniidae;Microlipophrys dalmatinus;Marine;36,70;2,76
Blenniidae;Microlipophrys nigriceps;Marine;36,66;2,49
Blenniidae;Microlipophrys velifer;Marine;37,85;2,76
Blenniidae;Ophioblennius steindachneri;Marine;38,26;2,42
Blenniidae;Parablennius incognitus;Marine;36,02;2,76
Blenniidae;Parablennius marmoreus;Marine;39,07;3,12
Blenniidae;Parablennius pilicornis;Marine;34,99;3,04
Blenniidae;Parablennius rouxi;Marine;36,53;3,04
Blenniidae;Parablennius ruber;Marine;33,22;2,94
Blenniidae;Parablennius salensis;Marine;37,42;3,12
Blenniidae;Parablennius sanguinolentus;Marine;35,88;2,69
Blenniidae;Parablennius tentacularis;Marine;36,47;3,12
Blenniidae;Parablennius zvonimiri;Marine;36,74;3,12
Blenniidae;Salaria economidisi;Freshwater;36,12;2,94
Blenniidae;Salaria fluviatilis;Freshwater;34,96;2,94
Blenniidae;Salaria pavo;Marine;35,90;2,76
Blenniidae;Salarias fasciatus;Marine;38,64;2,42
Blenniidae;Scartella caboverdiana;Marine;37,16;2,94
Blenniidae;Scartella cristata;Marine;36,16;2,94
Bovichtidae;Bovichtus variegatus;Marine;30,45;0,16
Callichthyidae;Callichthys callichthys;Freshwater;39,34;0,17
Callichthyidae;Corydoras ehrhardti;Freshwater;34,67;0,18
Callichthyidae;Corydoras paleatus;Freshwater;37,29;0,15
Callichthyidae;Scleromystax barbatus;Freshwater;36,35;0,17
Callionymidae;Tonlesapia tsukawakii;Freshwater;39,08;2,52
Carangidae;Pseudocaranx dentex;Marine;33,52;0,16
Carangidae;Seriola quinqueradiata;Marine;35,39;0,17
Carangidae;Trachinotus carolinus;Marine;38,80;0,17
Carangidae;Trachurus japonicus;Marine;34,41;0,16
Catostomidae;Carpiodes carpio;Freshwater;36,43;0,16
Catostomidae;Carpiodes velifer;Freshwater;35,29;1,64
Catostomidae;Catostomus catostomus;Freshwater;27,27;0,16
Catostomidae;Catostomus columbianus;Freshwater;32,83;1,33
Catostomidae;Catostomus commersonii;Freshwater;33,43;0,15
Catostomidae;Catostomus macrocheilus;Freshwater;31,34;1,33
Catostomidae;Catostomus microps;Freshwater;33,48;1,33
Catostomidae;Catostomus occidentalis;Freshwater;33,89;0,16
Catostomidae;Catostomus plebeius;Freshwater;32,03;0,98
Catostomidae;Catostomus rimiculus;Freshwater;32,30;0,23
Catostomidae;Catostomus snyderi;Freshwater;32,01;0,17
Catostomidae;Catostomus tahoensis;Freshwater;34,13;1,33
Catostomidae;Chasmistes brevirostris;Freshwater;32,36;0,14
Catostomidae;Cycleptus elongatus;Freshwater;35,27;1,70
Catostomidae;Cycleptus meridionalis;Freshwater;36,99;1,70
Catostomidae;Deltistes luxatus;Freshwater;32,14;0,43
Catostomidae;Erimyzon oblongus;Freshwater;34,69;1,46
Catostomidae;Erimyzon sucetta;Freshwater;35,11;1,46
Catostomidae;Erimyzon tenuis;Freshwater;35,93;1,46
Catostomidae;Hypentelium etowanum;Freshwater;35,50;0,83
Catostomidae;Hypentelium nigricans;Freshwater;33,81;0,15
Catostomidae;Hypentelium roanokense;Freshwater;34,85;1,13
Catostomidae;Ictiobus bubalus;Freshwater;36,96;0,15
Catostomidae;Ictiobus cyprinellus;Freshwater;35,45;0,98
Catostomidae;Ictiobus niger;Freshwater;35,84;0,39
Catostomidae;Minytrema melanops;Freshwater;33,32;0,16
Catostomidae;Moxostoma anisurum;Freshwater;32,72;1,28
Catostomidae;Moxostoma ariommum;Freshwater;35,58;1,75
Catostomidae;Moxostoma breviceps;Freshwater;35,42;1,25
Catostomidae;Moxostoma carinatum;Freshwater;35,78;0,63
Catostomidae;Moxostoma cervinum;Freshwater;36,07;1,05
Catostomidae;Moxostoma collapsum;Freshwater;35,90;1,28
Catostomidae;Moxostoma congestum;Freshwater;36,20;1,87
Catostomidae;Moxostoma duquesnii;Freshwater;35,47;1,42
Catostomidae;Moxostoma erythrurum;Freshwater;35,18;0,16
Catostomidae;Moxostoma hubbsi;Freshwater;32,91;1,24
Catostomidae;Moxostoma lachneri;Freshwater;36,86;1,87
Catostomidae;Moxostoma macrolepidotum;Freshwater;33,04;0,15
Catostomidae;Moxostoma pappillosum;Freshwater;35,80;1,27
Catostomidae;Moxostoma pisolabrum;Freshwater;36,30;1,25
Catostomidae;Moxostoma poecilurum;Freshwater;36,77;1,40
Catostomidae;Moxostoma robustum;Freshwater;35,97;0,20
Catostomidae;Moxostoma rupiscartes;Freshwater;36,33;1,39
Catostomidae;Moxostoma valenciennesi;Freshwater;33,22;1,32
Catostomidae;Thoburnia atripinnis;Freshwater;35,44;1,26
Catostomidae;Thoburnia hamiltoni;Freshwater;35,23;1,43
Catostomidae;Thoburnia rhothoeca;Freshwater;35,00;1,43
Catostomidae;Xyrauchen texanus;Freshwater;36,83;0,16
Centrarchidae;Acantharchus pomotis;Freshwater;36,69;1,60
Centrarchidae;Ambloplites ariommus;Freshwater;37,19;0,63
Centrarchidae;Ambloplites cavifrons;Freshwater;35,38;1,40
Centrarchidae;Ambloplites constellatus;Freshwater;35,73;1,41
Centrarchidae;Ambloplites rupestris;Freshwater;33,86;0,15
Centrarchidae;Archoplites interruptus;Freshwater;34,88;0,17
Centrarchidae;Centrarchus macropterus;Freshwater;36,68;1,46
Centrarchidae;Enneacanthus chaetodon;Freshwater;36,05;1,59
Centrarchidae;Enneacanthus gloriosus;Freshwater;36,18;1,65
Centrarchidae;Enneacanthus obesus;Freshwater;36,17;1,65
Centrarchidae;Lepomis auritus;Freshwater;35,93;1,19
Centrarchidae;Lepomis cyanellus;Freshwater;37,59;0,15
Centrarchidae;Lepomis gibbosus;Freshwater;35,86;0,16
Centrarchidae;Lepomis gulosus;Freshwater;37,29;0,15
Centrarchidae;Lepomis humilis;Freshwater;35,82;0,15
Centrarchidae;Lepomis macrochirus;Freshwater;36,81;0,15
Centrarchidae;Lepomis marginatus;Freshwater;38,71;0,79
Centrarchidae;Lepomis megalotis;Freshwater;37,26;0,16
Centrarchidae;Lepomis microlophus;Freshwater;38,29;0,15
Centrarchidae;Lepomis miniatus;Freshwater;38,49;1,14
Centrarchidae;Lepomis punctatus;Freshwater;38,68;1,14
Centrarchidae;Lepomis symmetricus;Freshwater;38,95;0,81
Centrarchidae;Micropterus cataractae;Freshwater;38,00;1,08
Centrarchidae;Micropterus coosae;Freshwater;37,82;1,15
Centrarchidae;Micropterus dolomieu;Freshwater;35,44;0,14
Centrarchidae;Micropterus floridanus;Freshwater;38,50;0,16
Centrarchidae;Micropterus notius;Freshwater;38,64;1,26
Centrarchidae;Micropterus punctulatus;Freshwater;38,02;0,14
Centrarchidae;Micropterus salmoides;Freshwater;35,66;0,15
Centrarchidae;Micropterus treculii;Freshwater;38,91;1,25
Centrarchidae;Pomoxis annularis;Freshwater;31,91;0,14
Centrarchidae;Pomoxis nigromaculatus;Freshwater;35,21;0,16
Centropomidae;Lates calcarifer;Freshwater;40,86;0,16
Chaetodontidae;Amphichaetodon howensis;Marine;34,61;2,25
Chaetodontidae;Amphichaetodon melbae;Marine;35,50;2,25
Chaetodontidae;Chaetodon adiergastos;Marine;38,45;2,86
Chaetodontidae;Chaetodon auriga;Marine;38,20;3,12
Chaetodontidae;Chaetodon auripes;Marine;37,94;3,08
Chaetodontidae;Chaetodon austriacus;Marine;38,83;2,86
Chaetodontidae;Chaetodon baronessa;Marine;38,36;2,55
Chaetodontidae;Chaetodon bennetti;Marine;38,48;3,02
Chaetodontidae;Chaetodon capistratus;Marine;38,36;2,86
Chaetodontidae;Chaetodon citrinellus;Marine;38,38;2,86
Chaetodontidae;Chaetodon collare;Marine;38,65;3,08
Chaetodontidae;Chaetodon decussatus;Marine;38,65;3,12
Chaetodontidae;Chaetodon dolosus;Marine;38,01;3,09
Chaetodontidae;Chaetodon ephippium;Marine;38,22;2,71
Chaetodontidae;Chaetodon falcula;Marine;38,55;3,36
Chaetodontidae;Chaetodon fasciatus;Marine;39,10;2,86
Chaetodontidae;Chaetodon flavirostris;Marine;37,86;3,12
Chaetodontidae;Chaetodon fremblii;Marine;37,55;2,42
Chaetodontidae;Chaetodon guentheri;Marine;37,88;3,12
Chaetodontidae;Chaetodon guttatissimus;Marine;38,54;3,09
Chaetodontidae;Chaetodon hoefleri;Marine;37,38;2,86
Chaetodontidae;Chaetodon humeralis;Marine;37,21;2,86
Chaetodontidae;Chaetodon interruptus;Marine;38,35;2,55
Chaetodontidae;Chaetodon lineolatus;Marine;38,45;3,08
Chaetodontidae;Chaetodon lunula;Marine;38,45;2,86
Chaetodontidae;Chaetodon madagaskariensis;Marine;38,58;3,02
Chaetodontidae;Chaetodon melannotus;Marine;38,23;2,86
Chaetodontidae;Chaetodon melapterus;Marine;38,76;2,86
Chaetodontidae;Chaetodon mertensii;Marine;38,32;2,86
Chaetodontidae;Chaetodon mesoleucos;Marine;39,27;2,86
Chaetodontidae;Chaetodon meyeri;Marine;38,61;2,70
Chaetodontidae;Chaetodon miliaris;Marine;37,46;3,12
Chaetodontidae;Chaetodon multicinctus;Marine;37,49;2,86
Chaetodontidae;Chaetodon ocellatus;Marine;37,97;2,86
Chaetodontidae;Chaetodon ocellicaudus;Marine;38,33;2,86
Chaetodontidae;Chaetodon octofasciatus;Marine;38,66;2,86
Chaetodontidae;Chaetodon ornatissimus;Marine;38,42;2,70
Chaetodontidae;Chaetodon oxycephalus;Marine;38,37;3,21
Chaetodontidae;Chaetodon paucifasciatus;Marine;39,12;3,02
Chaetodontidae;Chaetodon pelewensis;Marine;38,15;3,02
Chaetodontidae;Chaetodon plebeius;Marine;38,05;3,09
Chaetodontidae;Chaetodon punctatofasciatus;Marine;38,47;3,09
Chaetodontidae;Chaetodon quadrimaculatus;Marine;38,43;2,86
Chaetodontidae;Chaetodon rafflesii;Marine;38,35;2,86
Chaetodontidae;Chaetodon robustus;Marine;37,75;2,86
Chaetodontidae;Chaetodon sanctaehelenae;Marine;37,36;2,86
Chaetodontidae;Chaetodon sedentarius;Marine;38,38;3,02
Chaetodontidae;Chaetodon selene;Marine;38,40;2,71
Chaetodontidae;Chaetodon semeion;Marine;38,44;2,71
Chaetodontidae;Chaetodon semilarvatus;Marine;39,19;3,12
Chaetodontidae;Chaetodon speculum;Marine;38,34;3,09
Chaetodontidae;Chaetodon striatus;Marine;38,30;2,86
Chaetodontidae;Chaetodon tinkeri;Marine;37,94;2,86
Chaetodontidae;Chaetodon trichrous;Marine;38,39;2,42
Chaetodontidae;Chaetodon tricinctus;Marine;35,98;2,86
Chaetodontidae;Chaetodon trifascialis;Marine;38,40;2,86
Chaetodontidae;Chaetodon trifasciatus;Marine;38,64;2,86
Chaetodontidae;Chaetodon ulietensis;Marine;38,34;3,36
Chaetodontidae;Chaetodon unimaculatus;Marine;38,34;2,55
Chaetodontidae;Chaetodon vagabundus;Marine;38,52;3,09
Chaetodontidae;Chaetodon xanthurus;Marine;38,39;2,86
Chaetodontidae;Chelmon marginalis;Marine;38,25;1,25
Chaetodontidae;Chelmon muelleri;Marine;38,44;1,25
Chaetodontidae;Chelmon rostratus;Marine;38,28;0,17
Chaetodontidae;Chelmonops curiosus;Marine;34,72;1,78
Chaetodontidae;Coradion chrysozonus;Marine;38,45;1,83
Chaetodontidae;Coradion melanopus;Marine;38,17;1,83
Chaetodontidae;Forcipiger longirostris;Marine;38,38;2,19
Chaetodontidae;Hemitaurichthys zoster;Marine;38,52;2,29
Chaetodontidae;Heniochus acuminatus;Marine;38,43;2,68
Chaetodontidae;Heniochus diphreutes;Marine;38,23;2,68
Chaetodontidae;Heniochus monoceros;Marine;38,37;2,68
Chaetodontidae;Heniochus pleurotaenia;Marine;38,79;2,49
Chaetodontidae;Heniochus singularius;Marine;38,42;2,68
Chaetodontidae;Heniochus varius;Marine;38,49;2,49
Chaetodontidae;Johnrandallia nigrirostris;Marine;37,59;2,22
