pred,prey
Perca fluviatilis,Anguilla anguilla
Schilbe mystus,Micralestes acutidens
Schilbe mystus,Brycinus nurse
Schilbe mystus,Sierrathrissa leonensis
Schilbe mystus,Lates niloticus
Schilbe mystus,Schilbe intermedius
Schilbe mystus,Brycinus macrolepidotus
Schilbe mystus,Brycinus longipinnis
Schilbe mystus,Marcusenius macrolepidotus
Schilbe mystus,Limnothrissa miodon
Acipenser transmontanus,Thaleichthys pacificus
Acipenser transmontanus,Alosa sapidissima
Scomberomorus niphonius,Engraulis japonicus
Scomberomorus niphonius,Acanthopagrus schlegelii
Scomberomorus niphonius,Trachurus japonicus
Scomberomorus niphonius,Scomber japonicus
Synodontis zambezensis,Limnothrissa miodon
Anchoa mitchilli,Leiostomus xanthurus
Anchoa mitchilli,Anchoa mitchilli
Channa micropeltes,Oreochromis niloticus
Trinectes maculatus,Trinectes maculatus
Anguilla marmorata,Poecilia reticulata
Sander canadensis,Platygobio gracilis
Sander canadensis,Percopsis omiscomaycus
Sander canadensis,Pomoxis nigromaculatus
Sander canadensis,Aplodinotus grunniens
Sander canadensis,Notropis atherinoides
Sander canadensis,Sander vitreus
Sander canadensis,Morone chrysops
Sander canadensis,Lota lota
Sander canadensis,Perca flavescens
Sander canadensis,Dorosoma cepedianum
Sander canadensis,Sander canadensis
Sander canadensis,Percina caprodes
Sander canadensis,Lepomis macrochirus
Sander canadensis,Ameiurus nebulosus
Sander canadensis,Lepomis gibbosus
Sander canadensis,Hiodon alosoides
Sander canadensis,Polyodon spathula
Sander canadensis,Alburnus alburnus
Sander canadensis,Rutilus rutilus
Notothenia rossii,Gobionotothen gibberifrons
Notothenia rossii,Trematomus hansoni
Oncorhynchus clarkii,Salvelinus alpinus
Oncorhynchus clarkii,Oncorhynchus kisutch
Oncorhynchus clarkii,Cottus aleuticus
Oncorhynchus clarkii,Oncorhynchus gorbuscha
Oncorhynchus clarkii,Oncorhynchus keta
Oncorhynchus clarkii,Engraulis mordax
Oncorhynchus clarkii,Oncorhynchus nerka
Oncorhynchus clarkii,Clupea pallasii
Oncorhynchus clarkii,Oncorhynchus tshawytscha
Oncorhynchus clarkii,Richardsonius balteatus
Oncorhynchus clarkii,Oncorhynchus clarkii
Alosa macedonica,Alburnus alburnus
Alosa macedonica,Knipowitschia caucasica
Alosa macedonica,Rutilus rutilus
Oncorhynchus keta,Clupea pallasii
Hydrocynus brevis,Schilbe mystus
Kajikia audax,Pseudocaranx dentex
Kajikia audax,Sardinops sagax
Kajikia audax,Engraulis mordax
Kajikia audax,Scomber japonicus
Kajikia audax,Xiphias gladius
Kajikia audax,Auxis rochei
Kajikia audax,Auxis thazard
Anguilla rostrata,Alosa pseudoharengus
Anguilla rostrata,Ameiurus nebulosus
Anguilla rostrata,Lepomis gibbosus
Anguilla rostrata,Alosa sapidissima
Anguilla rostrata,Etheostoma nigrum
Anguilla rostrata,Percopsis omiscomaycus
Anguilla rostrata,Perca flavescens
Anguilla rostrata,Percina caprodes
Galaxias vulgaris,Gobiomorphus breviceps
Galaxias vulgaris,Galaxias vulgaris
Anguilla anguilla,Pleuronectes platessa
Anguilla anguilla,Clupea harengus
Anguilla anguilla,Gadus morhua
Anguilla anguilla,Lepomis gibbosus
Anguilla anguilla,Micropterus salmoides
Anguilla anguilla,Perca fluviatilis
Anguilla anguilla,Pomatoschistus minutus
Anguilla anguilla,Gasterosteus aculeatus
Anguilla anguilla,Cottus gobio
Anguilla anguilla,Phoxinus phoxinus
Anguilla anguilla,Salmo trutta
Anguilla anguilla,Anguilla anguilla
