species_alias,species_raw_names,kingdom_local,phylum_local,class_local,order_local,family_local,habitat_sources,group_local,trait_sources,consumer_taxon_status,queried_as_consumer,exclusion_reason
Bauera rubioides,Bauera rubioides,,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Bedotia geayi,Bedotia geayi,Animalia,Chordata,Actinopterygii,,Bedotiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bedotia longianalis,Bedotia longianalis,Animalia,Chordata,Actinopterygii,,Bedotiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bedotia madagascariensis,Bedotia madagascariensis,Animalia,Chordata,Actinopterygii,,Bedotiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bedotia marojejy,Bedotia marojejy,Animalia,Chordata,Actinopterygii,,Bedotiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bedotia tricolor,Bedotia tricolor,Animalia,Chordata,Actinopterygii,,Bedotiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Belodontichthys truncatus,Belodontichthys truncatus,Animalia,Chordata,Actinopterygii,,Siluridae,freshwater,fish,ComteOlden,animal,TRUE,""
Belonesox belizanus,Belonesox belizanus,Animalia,Chordata,Actinopterygii,Acanthomorphata,Poeciliidae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Belonoglanis tenuis,Belonoglanis tenuis,Animalia,Chordata,Actinopterygii,,Amphiliidae,freshwater,fish,ComteOlden,animal,TRUE,""
Benthochromis melanoides,Benthochromis melanoides,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Benthochromis tricoti,Benthochromis tricoti,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Benthophilus granulosus,Benthophilus granulosus,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Benthophilus magistri,Benthophilus magistri,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Benthophilus mahmudbejovi,Benthophilus mahmudbejovi,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Benthophilus stellatus,Benthophilus stellatus,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Berberis congesta,Berberis congesta,,Streptophyta,Spermatophyta,Ranunculales,Berberidaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Berberis empetrifolia,Berberis empetrifolia,,Streptophyta,Spermatophyta,Ranunculales,Berberidaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Betta imbellis,Betta imbellis,Animalia,Chordata,Actinopterygii,,Osphronemidae,freshwater,fish,ComteOlden,animal,TRUE,""
Betta prima,Betta prima,Animalia,Chordata,Actinopterygii,,Osphronemidae,freshwater,fish,ComteOlden,animal,TRUE,""
Betta simplex,Betta simplex,Animalia,Chordata,Actinopterygii,,Osphronemidae,freshwater,fish,ComteOlden,animal,TRUE,""
Betta smaragdina,Betta smaragdina,Animalia,Chordata,Actinopterygii,,Osphronemidae,freshwater,fish,ComteOlden,animal,TRUE,""
Betta splendens,Betta splendens,Animalia,Chordata,Actinopterygii,,Osphronemidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bidyanus bidyanus,Bidyanus bidyanus,Metazoa,Chordata,Actinopteri,Acanthomorphata,Terapontidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Bithynia tentaculata,Bithynia tentaculata,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Blechnum penna-marina,Blechnum penna-marina,,Streptophyta,Tracheophyta,Polypodiales,Blechnaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Blennius ocellaris,Blennius ocellaris,Animalia,Chordata,Actinopterygii,,Blenniidae,marine,fish,ComteOlden,animal,TRUE,""
Blicca bjoerkna,Blicca bjoerkna,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bodianus mesothorax,Bodianus mesothorax,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Bodianus rufus,Bodianus rufus,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Bodianus scrofa,Bodianus scrofa,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Bolbometopon muricatum,Bolbometopon muricatum,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Boops boops,Boops boops,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Boopsoidea inornata,Boopsoidea inornata,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Boraras maculatus,Boraras maculatus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Boraras micros,Boraras micros,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Boraras urophthalmoides,Boraras urophthalmoides,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Boreogadus saida,Boreogadus saida,,Chordata,Actinopteri,Gadiformes,Gadidae,"",,GlobTherm,animal,TRUE,""
Bostrychia arbuscula,Bostrychia arbuscula,,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Bostrychus sinensis,Bostrychus sinensis,Animalia,Chordata,Actinopterygii,,Eleotridae,freshwater,fish,ComteOlden,animal,TRUE,""
Bothrometopus brevis,Bothrometopus brevis,,Arthropoda,Insecta,Coleoptera,Brachyceridae,"",,GlobTherm,animal,TRUE,""
Bothrometopus elongatus,Bothrometopus elongatus,,Arthropoda,Insecta,Coleoptera,Brachyceridae,"",,GlobTherm,animal,TRUE,""
Bothrometopus gracilipes,Bothrometopus gracilipes,,Arthropoda,Insecta,Coleoptera,Brachyceridae,"",,GlobTherm,animal,TRUE,""
Bothrometopus parvulusparvulus,Bothrometopus parvulus_parvulus,,Arthropoda,Insecta,Coleoptera,Brachyceridae,"",,GlobTherm,animal,TRUE,""
Bothrometopus randi,Bothrometopus randi,,Arthropoda,Insecta,Coleoptera,Brachyceridae,"",,GlobTherm,animal,TRUE,""
Botia almorhae,Botia almorhae,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Botia histrionica,Botia histrionica,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Botia kubotai,Botia kubotai,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Botia rostrata,Botia rostrata,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Botia striata,Botia striata,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Boulengerochromis microlepis,Boulengerochromis microlepis,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Boulengeromyrus knoepffleri,Boulengeromyrus knoepffleri,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Bovichtus variegatus,Bovichtus variegatus,Animalia,Chordata,Actinopterygii,,Bovichtidae,marine,fish,ComteOlden,animal,TRUE,""
Boyeria vinosa,Boyeria vinosa,Metazoa,Arthropoda,Insecta,Odonata,Aeshnidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Brachycentrus americanus,Brachycentrus americanus,Metazoa,Arthropoda,Insecta,Trichoptera,Brachycentridae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Brachycentrus lateralis,Brachycentrus lateralis,Metazoa,Arthropoda,Insecta,Trichoptera,Brachycentridae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Brachycentrus occidentalis,Brachycentrus occidentalis,Metazoa,Arthropoda,Insecta,Trichoptera,Brachycentridae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Brachygobius doriae,Brachygobius doriae,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brachygobius kabiliensis,Brachygobius kabiliensis,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brachygobius xanthomelas,Brachygobius xanthomelas,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brachythecium rutabulum,Brachythecium rutabulum,,Streptophyta,Bryopsida,Hypnales,Brachytheciaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Branchipodopsis tridens,Branchipodopsis tridens,Metazoa,Arthropoda,Branchiopoda,Anostraca,Branchipodidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Branchipus schaefferi,Branchipus schaefferi,Metazoa,Arthropoda,Branchiopoda,Anostraca,Branchipodidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Brevimyrus niger,Brevimyrus niger,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Brienomyrus brachyistius,Brienomyrus brachyistius,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Brodoa intestiniformis,Brodoa intestiniformis,,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Bromus rubens,Bromus rubens,,Streptophyta,Spermatophyta,Poales,Poaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Bromus tectorum,Bromus tectorum,,Streptophyta,Spermatophyta,Poales,Poaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Brycinus affinis,Brycinus affinis,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus carolinae,Brycinus carolinae,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus imberi,Brycinus imberi,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus kingsleyae,Brycinus kingsleyae,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus lateralis,Brycinus lateralis,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus longipinnis,Brycinus longipinnis,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus macrolepidotus,Brycinus macrolepidotus,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus nurse,Brycinus nurse,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus opisthotaenia,Brycinus opisthotaenia,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycinus taeniurus,Brycinus taeniurus,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Brycon amazonicus,Brycon amazonicus,Metazoa,Chordata,Actinopteri,Characiformes,Bryconidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Bryconaethiops macrops,Bryconaethiops macrops,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Bryconaethiops microstoma,Bryconaethiops microstoma,Animalia,Chordata,Actinopterygii,,Alestidae,freshwater,fish,ComteOlden,animal,TRUE,""
Buellia epipolia,Buellia epipolia,,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Bufo alvarius,Bufo alvarius,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo boreas,Bufo boreas,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo canaliferus,Bufo canaliferus,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo canorus,Bufo canorus,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo cognatus,Bufo cognatus,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo debilis,Bufo debilis,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo exsul,Bufo exsul,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo haemititicus,Bufo haemititicus,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo luetkenii,Bufo luetkenii,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo marinus,Bufo marinus,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo marmoreus,Bufo marmoreus,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo mazatlanensis,Bufo mazatlanensis,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo nelsoni,Bufo nelsoni,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bufo woodhousiifowleri,Bufo woodhousii_fowleri,,Chordata,Amphibia,Anura,Bufonidae,"",,GlobTherm,animal,TRUE,""
Bugula californica,Bugula californica,,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,"",,GlobTherm,animal,TRUE,""
Bujurquina vittata,Bujurquina vittata,Metazoa,Chordata,Actinopteri,Acanthomorphata,Cichlidae,freshwater,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Bullia rhodostoma,Bullia rhodostoma,,Mollusca,Gastropoda,Neogastropoda,Nassariidae,"",,GlobTherm,animal,TRUE,""
Bursaria spinosa,Bursaria spinosa,,Streptophyta,Spermatophyta,Apiales,Pittosporaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Butis amboinensis,Butis amboinensis,Animalia,Chordata,Actinopterygii,,Eleotridae,freshwater,fish,ComteOlden,animal,TRUE,""
Butis butis,Butis butis,Animalia,Chordata,Actinopterygii,,Eleotridae,freshwater,fish,ComteOlden,animal,TRUE,""
Cabdio morar,Cabdio morar,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Caenis latipennis,Caenis latipennis,Metazoa,Arthropoda,Insecta,Ephemeroptera,Caenidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Caenis luctuosa,Caenis luctuosa,Metazoa,Arthropoda,Insecta,Ephemeroptera,Caenidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Calamus brachysomus,Calamus brachysomus,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Calamus nodosus,Calamus nodosus,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Calamus penna,Calamus penna,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Calathus melanocephalus,Calathus melanocephalus,,Arthropoda,Insecta,Coleoptera,Carabidae,"",,GlobTherm,animal,TRUE,""
Callichthys callichthys,Callichthys callichthys,Metazoa,Chordata,Actinopteri,Siluriformes,Callichthyidae,freshwater,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Callicoma serratifolia,Callicoma serratifolia,,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Callinectes danae,Callinectes danae,Metazoa,Arthropoda,Malacostraca,Decapoda,Portunidae,mixed,invertebrate,ThermoFresh,animal,TRUE,""
Callistemon viridiflorus,Callistemon viridiflorus,,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Callitris endlicheri,Callitris endlicheri,,Streptophyta,Spermatophyta,Cupressales,Cupressaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Callochromis macrops,Callochromis macrops,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Callochromis melanostigma,Callochromis melanostigma,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Callochromis pleurospilus,Callochromis pleurospilus,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Callopanchax monroviae,Callopanchax monroviae,Animalia,Chordata,Actinopterygii,,Nothobranchiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Callopanchax occidentalis,Callopanchax occidentalis,Animalia,Chordata,Actinopterygii,,Nothobranchiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Callopanchax toddi,Callopanchax toddi,Animalia,Chordata,Actinopterygii,,Nothobranchiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Caloplaca aurantia,Caloplaca aurantia,,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Caloplaca ferrugineaa,Caloplaca ferruginea<a0>,,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Calopteryx virgo,Calopteryx virgo,Metazoa,Arthropoda,Insecta,Odonata,Calopterygidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Calotomus carolinus,Calotomus carolinus,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Calotomus spinidens,Calotomus spinidens,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,ComteOlden,animal,TRUE,""
Calyptotis temporalis,Calyptotis temporalis,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Camponotus americanus,Camponotus americanus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus castaneus,Camponotus castaneus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus chromaiodes,Camponotus chromaiodes,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus cruentatus,Camponotus cruentatus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus detritus,Camponotus detritus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus foreli,Camponotus foreli,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus herculeanus,Camponotus herculeanus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus novaeboracensis,Camponotus novaeboracensis,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus pennsylvanicus,Camponotus pennsylvanicus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Camponotus sylvaticus,Camponotus sylvaticus,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Campostoma anomalum,Campostoma anomalum,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,ComteOlden;GlobTherm;ThermoFresh,animal,TRUE,""
Campostoma oligolepis,Campostoma oligolepis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Campostoma pauciradii,Campostoma pauciradii,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Campylomormyrus curvirostris,Campylomormyrus curvirostris,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Campylomormyrus elephas,Campylomormyrus elephas,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Campylomormyrus numenius,Campylomormyrus numenius,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Campylomormyrus rhynchophorus,Campylomormyrus rhynchophorus,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Campylomormyrus tamandua,Campylomormyrus tamandua,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Campylomormyrus tshokwe,Campylomormyrus tshokwe,Animalia,Chordata,Actinopterygii,,Mormyridae,freshwater,fish,ComteOlden,animal,TRUE,""
Canonopsis sericeus,Canonopsis sericeus,,Arthropoda,Insecta,Coleoptera,Curculionidae,"",,GlobTherm,animal,TRUE,""
Canthigaster amboinensis,Canthigaster amboinensis,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthigaster bennetti,Canthigaster bennetti,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthigaster jactator,Canthigaster jactator,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthigaster janthinoptera,Canthigaster janthinoptera,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthigaster rostrata,Canthigaster rostrata,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthigaster solandri,Canthigaster solandri,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthigaster valentini,Canthigaster valentini,Animalia,Chordata,Actinopterygii,,Tetraodontidae,marine,fish,ComteOlden,animal,TRUE,""
Canthophrys gongota,Canthophrys gongota,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,ComteOlden,animal,TRUE,""
Cantua buxifolia,Cantua buxifolia,,Streptophyta,Spermatophyta,Ericales,Polemoniaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Capoeta angorae,Capoeta angorae,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta antalyensis,Capoeta antalyensis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta baliki,Capoeta baliki,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta banarescui,Capoeta banarescui,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta barroisi,Capoeta barroisi,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta capoeta,Capoeta capoeta capoeta,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta damascina,Capoeta damascina,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta ekmekciae,Capoeta ekmekciae,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta pestai,Capoeta pestai,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta tinca,Capoeta tinca,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Capoeta trutta,Capoeta trutta,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Carasobarbus canis,Carasobarbus canis,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Carasobarbus chantrei,Carasobarbus chantrei,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Carasobarbus kosswigi,Carasobarbus kosswigi,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Carasobarbus luteus,Carasobarbus luteus,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Carassius auratus,Carassius auratus,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Carassius carassius,Carassius carassius,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Carassius gibelio,Carassius gibelio,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,mixed,fish,ThermoFresh,animal,TRUE,""
Carcinus maenas,Carcinus maenas,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,mixed,invertebrate,GlobTherm;ThermoFresh,animal,TRUE,""
Cardiopharynx schoutedeni,Cardiopharynx schoutedeni,Animalia,Chordata,Actinopterygii,,Cichlidae,freshwater,fish,ComteOlden,animal,TRUE,""
Carlia foliorum,Carlia foliorum,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carlia longipes,Carlia longipes,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carlia munda,Carlia munda,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carlia pectoralis,Carlia pectoralis,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carlia rhomboidalis,Carlia rhomboidalis,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carlia schmeltzi,Carlia schmeltzi,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carlia vivax,Carlia vivax,,Chordata,Lepidosauria,Squamata,Scincidae,"",,GlobTherm,animal,TRUE,""
Carnegiella strigata,Carnegiella strigata,Metazoa,Chordata,Actinopteri,Characiformes,Gasteropelecidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Carpiodes carpio,Carpiodes carpio,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,freshwater,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Carpiodes cyprinus,Carpiodes cyprinus,Metazoa,Chordata,Actinopteri,Cypriniformes,Catostomidae,freshwater,fish,GlobTherm;ThermoFresh,animal,TRUE,""
Carpiodes velifer,Carpiodes velifer,Animalia,Chordata,Actinopterygii,,Catostomidae,freshwater,fish,ComteOlden,animal,TRUE,""
Caspiosoma caspium,Caspiosoma caspium,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Castanea dentata,Castanea dentata,,Streptophyta,Spermatophyta,Fagales,Fagaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Castanophlebia calida,Castanophlebia calida,Metazoa,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Cataglyphis bicolor,Cataglyphis bicolor,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Cataglyphis bombycina,Cataglyphis bombycina,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
