species_alias,species_raw_names,kingdom_local,phylum_local,class_local,order_local,family_local,habitat_sources,group_local,trait_sources,consumer_taxon_status,queried_as_consumer,exclusion_reason
Polyrhachis furcata,Polyrhachis furcata,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Polysteganus praeorbitalis,Polysteganus praeorbitalis,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,ComteOlden,animal,TRUE,""
Polytrichum formosum,Polytrichum formosum,,Streptophyta,Polytrichopsida,Polytrichales,Polytrichaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Pomacanthus arcuatus,Pomacanthus arcuatus,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus imperator,Pomacanthus imperator,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus maculosus,Pomacanthus maculosus,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus navarchus,Pomacanthus navarchus,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus paru,Pomacanthus paru,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus rhomboides,Pomacanthus rhomboides,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus semicirculatus,Pomacanthus semicirculatus,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus sexstriatus,Pomacanthus sexstriatus,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus xanthometopon,Pomacanthus xanthometopon,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacanthus zonipectus,Pomacanthus zonipectus,Animalia,Chordata,Actinopterygii,,Pomacanthidae,marine,fish,ComteOlden,animal,TRUE,""
Pomacea canaliculata,Pomacea canaliculata,Metazoa,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Pomacea diffusa,Pomacea diffusa,Metazoa,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Pomadasys argenteus,Pomadasys argenteus,Animalia,Chordata,Actinopterygii,,Haemulidae,freshwater,fish,ComteOlden,animal,TRUE,""
Pomaderris apetala,Pomaderris apetala,,Streptophyta,Spermatophyta,Rosales,Rhamnaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Pomatoschistus canestrinii,Pomatoschistus canestrinii,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Pomatoschistus microps,Pomatoschistus microps,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,freshwater;mixed,invertebrate,ComteOlden;ThermoFresh,animal,TRUE,""
Pomatoschistus minutus,Pomatoschistus minutus,Metazoa,Chordata,Actinopteri,Acanthomorphata,Gobiidae,marine;mixed,fish,ComteOlden;ThermoFresh,animal,TRUE,""
Pomoxis annularis,Pomoxis annularis,Animalia,Chordata,Actinopterygii,,Centrarchidae,freshwater,fish,ComteOlden,animal,TRUE,""
Pomoxis nigromaculatus,Pomoxis nigromaculatus,Animalia,Chordata,Actinopterygii,,Centrarchidae,freshwater,fish,ComteOlden,animal,TRUE,""
Ponera pennsylvanica,Ponera pennsylvanica,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Pontastacus leptodactylus,Pontastacus leptodactylus,Metazoa,Arthropoda,Malacostraca,Decapoda,Astacidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Ponticola cyrius,Ponticola cyrius,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Ponticola eurycephalus,Ponticola eurycephalus,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Ponticola gorlap,Ponticola gorlap,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Ponticola kessleri,Ponticola kessleri,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Ponticola syrman,Ponticola syrman,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,ComteOlden,animal,TRUE,""
Popenaias popeii,Popenaias popeii,Metazoa,Mollusca,Bivalvia,Unionida,Unionidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Potamilus alatus,Potamilus alatus,Metazoa,Mollusca,Bivalvia,Unionida,Unionidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Potamopyrgus antipodarum,Potamopyrgus antipodarum,Metazoa,Mollusca,Gastropoda,Littorinimorpha,Tateidae,mixed,invertebrate,GlobTherm;ThermoFresh,animal,TRUE,""
Potamothrissa obtusirostris,Potamothrissa obtusirostris,Animalia,Chordata,Actinopterygii,,Clupeidae,freshwater,fish,ComteOlden,animal,TRUE,""
Pouteria costata,Pouteria costata,,Streptophyta,Spermatophyta,Ericales,Sapotaceae,"",,GlobTherm,non_animal,FALSE,Taxon is not an animal
Premnas biaculeatus,Premnas biaculeatus,Animalia,Chordata,Actinopterygii,,Pomacentridae,marine,fish,ComteOlden,animal,TRUE,""
Prenolepis imparis,Prenolepis imparis,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Prinerigone vagans,Prinerigone vagans,,Arthropoda,Arachnida,Araneae,Linyphiidae,"",,GlobTherm,animal,TRUE,""
Prionurus laticlavius,Prionurus laticlavius,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Prionurus maculatus,Prionurus maculatus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Prionurus microlepidotus,Prionurus microlepidotus,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Prionurus scalprum,Prionurus scalprum,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,ComteOlden,animal,TRUE,""
Pristolepis fasciata,Pristolepis fasciata,Animalia,Chordata,Actinopterygii,,Nandidae,freshwater,fish,ComteOlden,animal,TRUE,""
Pristolepis marginata,Pristolepis marginata,Animalia,Chordata,Actinopterygii,,Nandidae,freshwater,fish,ComteOlden,animal,TRUE,""
Proasellus intermedius,Proasellus intermedius,Metazoa,Arthropoda,Malacostraca,Isopoda,Asellidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Probarbus jullieni,Probarbus jullieni,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,ComteOlden,animal,TRUE,""
Procambarus clarki,Procambarus clarki,,Arthropoda,Malacostraca,Decapoda,Cambaridae,"",,GlobTherm,animal,TRUE,""
Procambarus clarkii,Procambarus clarkii,Metazoa,Arthropoda,Malacostraca,Decapoda,Cambaridae,mixed,invertebrate,ThermoFresh,animal,TRUE,""
Procambarus zonangulus,Procambarus zonangulus,Metazoa,Arthropoda,Malacostraca,Decapoda,Cambaridae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
Proceratium silaceum,Proceratium silaceum,,Arthropoda,Insecta,Hymenoptera,Formicidae,"",,GlobTherm,animal,TRUE,""
Prochilodus lineatus,Prochilodus lineatus,Metazoa,Chordata,Actinopteri,Characiformes,Prochilodontidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Prochilodus scrofa,Prochilodus scrofa,,Chordata,Actinopteri,Characiformes,Prochilodontidae,"",,GlobTherm,animal,TRUE,""
Procypris rabaudi,Procypris rabaudi,Metazoa,Chordata,Actinopteri,Cypriniformes,Cyprinidae,freshwater,fish,ThermoFresh,animal,TRUE,""
Prodiamesa olivacea,Prodiamesa olivacea,Metazoa,Arthropoda,Insecta,Diptera,Chironomidae,freshwater,invertebrate,ThermoFresh,animal,TRUE,""
