species_alias,accepted_species,species_raw,metric,trait_value,trait_source,source_record_id,kingdom,phylum,class,order,family,habitat_class,group,source_priority
Acantharchus pomotis,Acantharchus pomotis,Acantharchus pomotis,ctmax,36.69,ComteOlden,ComteOlden_row_333,Animalia,Chordata,Actinopterygii,,Centrarchidae,freshwater,fish,2
Acanthobrama lissneri,Acanthobrama lissneri,Acanthobrama lissneri,ctmax,35.75,ComteOlden,ComteOlden_row_909,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acanthobrama marmid,Acanthobrama marmid,Acanthobrama marmid,ctmax,35.86,ComteOlden,ComteOlden_row_910,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acanthobrama microlepis,Acanthobrama microlepis,Acanthobrama microlepis,ctmax,33.52,ComteOlden,ComteOlden_row_911,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acanthobrama terraesanctae,Acanthobrama terraesanctae,Acanthobrama terraesanctae,ctmax,36.46,ComteOlden,ComteOlden_row_912,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acanthocobitis botia,Acanthocobitis botia,Acanthocobitis botia,ctmax,34.76,ComteOlden,ComteOlden_row_188,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Acanthocobitis pavonacea,Acanthocobitis pavonacea,Acanthocobitis pavonacea,ctmax,37.2,ComteOlden,ComteOlden_row_189,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Acanthocobitis zonalternans,Acanthocobitis zonalternans,Acanthocobitis zonalternans,ctmax,38.37,ComteOlden,ComteOlden_row_190,Animalia,Chordata,Actinopterygii,,Balitoridae,freshwater,fish,2
Acanthocybium solandri,Acanthocybium solandri,Acanthocybium solandri,ctmax,35.8,ComteOlden,ComteOlden_row_2714,Animalia,Chordata,Actinopterygii,,Scombridae,marine,fish,2
Acanthodactylus erythrurus,Acanthodactylus erythrurus,Acanthodactylus erythrurus,ctmax,46.3,GlobTherm,GlobTherm_row_1024_upper_primary,,Chordata,Lepidosauria,Squamata,Lacertidae,unknown,,3
Acanthogobius flavimanus,Acanthogobius flavimanus,Acanthogobius flavimanus,ctmax,35.59,ComteOlden,ComteOlden_row_1764,Animalia,Chordata,Actinopterygii,,Gobiidae,freshwater,fish,2
Acanthopagrus australis,Acanthopagrus australis,Acanthopagrus australis,ctmax,38.35,ComteOlden,ComteOlden_row_2833,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus berda,Acanthopagrus berda,Acanthopagrus berda,ctmax,39.51,ComteOlden,ComteOlden_row_2834,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,ctmax,39.41,ComteOlden,ComteOlden_row_2835,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus butcheri,Acanthopagrus butcheri,Acanthopagrus butcheri,ctmax,34.92,ComteOlden,ComteOlden_row_2836,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus chinshira,Acanthopagrus chinshira,Acanthopagrus chinshira,ctmax,39.06,ComteOlden,ComteOlden_row_2837,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus latus,Acanthopagrus latus,Acanthopagrus latus,ctmax,40.65,ComteOlden,ComteOlden_row_2838,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ctmax,36.1,ThermoFresh,t_4309,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ctmax,38.2,ThermoFresh,t_4310,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ctmax,39.3,ThermoFresh,t_4311,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ctmax,34.7,ThermoFresh,t_4308,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ctmax,33.9,ThermoFresh,t_4307,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ctmax,37.86,ComteOlden,ComteOlden_row_2839,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ltmax,39.5,ThermoFresh,t_4316,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ltmax,36.7,ThermoFresh,t_4314,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ltmax,34.5,ThermoFresh,t_4312,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ltmax,35.2,ThermoFresh,t_4313,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Acanthopagrus schlegelii,ltmax,38.9,ThermoFresh,t_4315,Metazoa,Chordata,Actinopteri,Acanthomorphata,Sparidae,mixed,fish,1
Acanthopagrus sivicolus,Acanthopagrus sivicolus,Acanthopagrus sivicolus,ctmax,39.44,ComteOlden,ComteOlden_row_2840,Animalia,Chordata,Actinopterygii,,Sparidae,marine,fish,2
Acanthopsoides gracilentus,Acanthopsoides gracilentus,Acanthopsoides gracilentus,ctmax,39.43,ComteOlden,ComteOlden_row_811,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,2
Acanthopsoides hapalias,Acanthopsoides hapalias,Acanthopsoides hapalias,ctmax,39.4,ComteOlden,ComteOlden_row_812,Animalia,Chordata,Actinopterygii,,Cobitidae,freshwater,fish,2
Acanthurus blochii,Acanthurus blochii,Acanthurus blochii,ctmax,38.36,ComteOlden,ComteOlden_row_1,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus chirurgus,Acanthurus chirurgus,Acanthurus chirurgus,ctmax,38.3,ComteOlden,ComteOlden_row_2,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus coeruleus,Acanthurus coeruleus,Acanthurus coeruleus,ctmax,38.17,ComteOlden,ComteOlden_row_3,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus dussumieri,Acanthurus dussumieri,Acanthurus dussumieri,ctmax,38.33,ComteOlden,ComteOlden_row_4,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus guttatus,Acanthurus guttatus,Acanthurus guttatus,ctmax,38.53,ComteOlden,ComteOlden_row_5,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus japonicus,Acanthurus japonicus,Acanthurus japonicus,ctmax,38.49,ComteOlden,ComteOlden_row_6,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus mata,Acanthurus mata,Acanthurus mata,ctmax,38.6,ComteOlden,ComteOlden_row_7,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus nigricans,Acanthurus nigricans,Acanthurus nigricans,ctmax,38.52,ComteOlden,ComteOlden_row_8,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus nigroris,Acanthurus nigroris,Acanthurus nigroris,ctmax,37.42,ComteOlden,ComteOlden_row_9,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus nubilus,Acanthurus nubilus,Acanthurus nubilus,ctmax,38.71,ComteOlden,ComteOlden_row_10,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus thompsoni,Acanthurus thompsoni,Acanthurus thompsoni,ctmax,38.41,ComteOlden,ComteOlden_row_11,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus triostegus,Acanthurus triostegus,Acanthurus triostegus,ctmax,38.43,ComteOlden,ComteOlden_row_12,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acanthurus xanthopterus,Acanthurus xanthopterus,Acanthurus xanthopterus,ctmax,38.59,ComteOlden,ComteOlden_row_13,Animalia,Chordata,Actinopterygii,,Acanthuridae,marine,fish,2
Acar domingensis,Acar domingensis,Acar domingensis,ctmax,39,GlobTherm,GlobTherm_row_553_upper_primary,,Mollusca,Bivalvia,Arcoida,Arcidae,unknown,,3
Acca sellowiana,Acca sellowiana,Acca sellowiana,lt50,-12.5,GlobTherm,GlobTherm_row_1916_lower_primary,,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,unknown,,3
Acer saccharum,Acer saccharum,Acer saccharum,lt50,-39,GlobTherm,GlobTherm_row_2059_lower_primary,,Streptophyta,Spermatophyta,Sapindales,Aceraceae,unknown,,3
Acheilognathus barbatulus,Acheilognathus barbatulus,Acheilognathus barbatulus,ctmax,36.49,ComteOlden,ComteOlden_row_913,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acheilognathus macropterus,Acheilognathus macropterus,Acheilognathus macropterus,ctmax,35.19,ComteOlden,ComteOlden_row_914,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acheilognathus tonkinensis,Acheilognathus tonkinensis,Acheilognathus tonkinensis,ctmax,36.25,ComteOlden,ComteOlden_row_915,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Achoerodus viridis,Achoerodus viridis,Achoerodus viridis,ctmax,35.43,ComteOlden,ComteOlden_row_1882,Animalia,Chordata,Actinopterygii,,Labridae,marine,fish,2
Achondrostoma arcasii,Achondrostoma arcasii,Achondrostoma arcasii,ctmax,35.53,ComteOlden,ComteOlden_row_916,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Achondrostoma occidentale,Achondrostoma occidentale,Achondrostoma occidentale,ctmax,36.16,ComteOlden,ComteOlden_row_917,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Achondrostoma oligolepis,Achondrostoma oligolepis,Achondrostoma oligolepis,ctmax,35.83,ComteOlden,ComteOlden_row_918,Animalia,Chordata,Actinopterygii,,Cyprinidae,freshwater,fish,2
Acipenser baerii,Acipenser baerii,Acipenser baerii,ctmax,33,ThermoFresh,t_4674,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser baerii,Acipenser baerii,Acipenser baerii,ctmax,30.73,ComteOlden,ComteOlden_row_43,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,26.78,ThermoFresh,t_239,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,26.59,ThermoFresh,t_238,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,31.5,ThermoFresh,t_5010,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,32.8,ThermoFresh,t_5011,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,27.6,ThermoFresh,t_5009,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,33.7,ThermoFresh,t_5065,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,35.1,ThermoFresh,t_5066,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ctmax,34.76,ComteOlden,ComteOlden_row_44,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ltmax,36.1,ThermoFresh,t_5068,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser brevirostrum,Acipenser brevirostrum,Acipenser brevirostrum,ltmax,34.8,ThermoFresh,t_5067,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.9,ThermoFresh,t_4954,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,33,ThermoFresh,t_4955,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.9,ThermoFresh,t_4956,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.2,ThermoFresh,t_490,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.9,ThermoFresh,t_492,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.6,ThermoFresh,t_488,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.4,ThermoFresh,t_487,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,35.8,ThermoFresh,t_489,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.1,ThermoFresh,t_491,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.44,ThermoFresh,t_6135,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,33.3,ThermoFresh,t_6138,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.74,ThermoFresh,t_6140,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.5,ThermoFresh,t_6132,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.51,ThermoFresh,t_6133,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,33.4,ThermoFresh,t_6137,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.8,ThermoFresh,t_6136,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,33,ThermoFresh,t_6131,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,34.5,ThermoFresh,t_6139,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,33.1,ThermoFresh,t_6130,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.55,ThermoFresh,t_6134,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.55,ThermoFresh,t_6129,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,ctmax,32.21,ComteOlden,ComteOlden_row_45,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,ctmax,33.69,ComteOlden,ComteOlden_row_46,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser medirostris,Acipenser medirostris,Acipenser medirostris,ctmax,34.5,ThermoFresh,t_4492,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser medirostris,Acipenser medirostris,Acipenser medirostris,ctmax,34.2,ThermoFresh,t_5813,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser medirostris,Acipenser medirostris,Acipenser medirostris,ctmax,33.7,ThermoFresh,t_5812,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser medirostris,Acipenser medirostris,Acipenser medirostris,ctmax,33.7,ThermoFresh,t_5814,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser medirostris,Acipenser medirostris,Acipenser medirostris,ctmax,33.36,ComteOlden,ComteOlden_row_47,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser naccarii,Acipenser naccarii,Acipenser naccarii,ctmax,33.83,ComteOlden,ComteOlden_row_48,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser nudiventris,Acipenser nudiventris,Acipenser nudiventris,ctmax,35.45,ComteOlden,ComteOlden_row_49,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser oxyrinchus,Acipenser oxyrinchus,Acipenser oxyrinchus,ctmax,33.41,ComteOlden,ComteOlden_row_50,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser persicus,Acipenser persicus,Acipenser persicus,ctmax,34.64,ComteOlden,ComteOlden_row_51,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser ruthenus,Acipenser ruthenus,Acipenser ruthenus,ctmax,32.16,ComteOlden,ComteOlden_row_52,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser stellatus,Acipenser stellatus,Acipenser stellatus,ctmax,34.66,ComteOlden,ComteOlden_row_53,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser sturio,Acipenser sturio,Acipenser sturio,ctmax,32.52,ComteOlden,ComteOlden_row_54,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,32.08,ThermoFresh,t_3360,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,32.6,ThermoFresh,t_3363,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,31.43,ThermoFresh,t_3361,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,30.2,ThermoFresh,t_3359,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,33.57,ThermoFresh,t_3364,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,31.3,ThermoFresh,t_3367,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,29.2,ThermoFresh,t_3366,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,30.28,ThermoFresh,t_3358,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,34.2,ThermoFresh,t_3368,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,33.87,ThermoFresh,t_3365,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,33.11,ThermoFresh,t_3362,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,28.6,ThermoFresh,t_6179,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,30.69,ThermoFresh,t_6177,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,31.74,ThermoFresh,t_6178,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,28.51,ThermoFresh,t_6180,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,30.7,ThermoFresh,t_846,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,30.4,ThermoFresh,t_847,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,26.3,ThermoFresh,t_842,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,24.8,ThermoFresh,t_843,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,23.3,ThermoFresh,t_844,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,31.3,ThermoFresh,t_845,Metazoa,Chordata,Actinopteri,Acipenseriformes,Acipenseridae,mixed,fish,1
Acipenser transmontanus,Acipenser transmontanus,Acipenser transmontanus,ctmax,32.83,ComteOlden,ComteOlden_row_55,Animalia,Chordata,Actinopterygii,,Acipenseridae,freshwater,fish,2
Aciphylla hectorii,Aciphylla hectorii,Aciphylla hectorii,lt50,-8.4,GlobTherm,GlobTherm_row_2031_lower_primary,,Streptophyta,Spermatophyta,Apiales,Apiaceae,unknown,,3
Ackama rosifolia,Ackama rosifolia,Ackama rosifolia,lt50,-5.8,GlobTherm,GlobTherm_row_1917_lower_primary,,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,unknown,,3
Acmadenia heterophylla,Acmadenia heterophylla,Acmadenia heterophylla,lt50,-4.9,GlobTherm,GlobTherm_row_1918_lower_primary,,Streptophyta,Spermatophyta,Sapindales,Rutaceae,unknown,,3
Acmena smithii,Acmena smithii,Acmena smithii,lt50,-4.4,GlobTherm,GlobTherm_row_1919_lower_primary,,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,unknown,,3
Acmispon glaber,Acmispon glaber,Acmispon glaber,ctmax,53.2,GlobTherm,GlobTherm_row_1879_upper_primary,,Streptophyta,Spermatophyta,Fabales,Fabaceae,unknown,,3
Acontias meleagris,Acontias meleagris,Acontias meleagris,ctmax,41,GlobTherm,GlobTherm_row_1289_upper_primary,,Chordata,Lepidosauria,Squamata,Scincidae,unknown,,3
Acradenia frankliniae,Acradenia frankliniae,Acradenia frankliniae,lt50,-8.1,GlobTherm,GlobTherm_row_1920_lower_primary,,Streptophyta,Spermatophyta,Sapindales,Rutaceae,unknown,,3
