consumer,metric,recorded_prey_species,prey_with_trait,prey_trait_coverage,included_in_analysis
Leuciscus aspius,ctmax,87,62,0.71264367816092,TRUE
Lota lota,ctmax,700,120,0.171428571428571,TRUE
Oncorhynchus mykiss,ctmax,816,118,0.144607843137255,TRUE
Padogobius bonelli,ctmax,650,89,0.136923076923077,TRUE
Ponticola kessleri,ctmax,662,89,0.134441087613293,TRUE
Salariopsis fluviatilis,ctmax,400,77,0.1925,TRUE
Salmo labrax,ctmax,649,89,0.13713405238829,TRUE
Salmo marmoratus,ctmax,85,60,0.705882352941177,TRUE
Salmo salar,ctmax,777,101,0.12998712998713,TRUE
Salvelinus fontinalis,ctmax,791,116,0.146649810366625,TRUE
Salvelinus namaycush,ctmax,704,121,0.171875,TRUE
Sander lucioperca,ctmax,119,74,0.621848739495798,TRUE
Silurus glanis,ctmax,118,71,0.601694915254237,TRUE
Squalius cephalus,ctmax,838,94,0.112171837708831,TRUE
Halichoeres semicinctus,ctmax,51,1,0.0196078431372549,TRUE
Bodianus rufus,ctmax,130,4,0.0307692307692308,TRUE
Scomberomorus regalis,ctmax,73,13,0.178082191780822,TRUE
Thalassoma bifasciatum,ctmax,140,3,0.0214285714285714,TRUE
Abudefduf saxatilis,ctmax,140,1,0.00714285714285714,TRUE
Apogon maculatus,ctmax,98,0,0,FALSE
Canthigaster rostrata,ctmax,272,1,0.00367647058823529,TRUE
Chaetodon capistratus,ctmax,152,0,0,FALSE
Chaetodon striatus,ctmax,75,0,0,FALSE
Halichoeres maculipinna,ctmax,149,1,0.00671140939597315,TRUE
Hypoplectrus nigricans,ctmax,104,2,0.0192307692307692,TRUE
Ocyurus chrysurus,ctmax,249,2,0.00803212851405622,TRUE
Sphoeroides spengleri,ctmax,280,1,0.00357142857142857,TRUE
Prognathodes aculeatus,ctmax,114,2,0.0175438596491228,TRUE
Odontaster validus,ctmax,230,5,0.0217391304347826,TRUE
Pachycara brachycephalum,ctmax,45,1,0.0222222222222222,TRUE
Trematomus pennellii,ctmax,187,6,0.0320855614973262,TRUE
Ectemnorhinus similis,ctmax,2,0,0,FALSE
Zora spinimana,ctmax,3304,4,0.00121065375302663,TRUE
Oedothorax apicatus,ctmax,39,1,0.0256410256410256,TRUE
Tibellus maritimus,ctmax,779,4,0.00513478818998716,TRUE
Euophrys frontalis,ctmax,1022,3,0.00293542074363992,TRUE
Hypsypops rubicundus,ctmax,30,0,0,FALSE
Arothron hispidus,ctmax,8,0,0,FALSE
Thunnus thynnus,ctmax,109,6,0.055045871559633,TRUE
Centropristis striata,ctmax,117,6,0.0512820512820513,TRUE
Xyrichtys novacula,ctmax,16,1,0.0625,TRUE
Camponotus pennsylvanicus,ctmax,25,0,0,FALSE
Trachylepis striata,ctmax,2,0,0,FALSE
Carcinus maenas,ctmax,184,15,0.0815217391304348,TRUE
Coryphoblennius galerita,ctmax,117,4,0.0341880341880342,TRUE
Diplodus sargus,ctmax,93,3,0.032258064516129,TRUE
Gobius niger,ctmax,58,9,0.155172413793103,TRUE
Gobius paganellus,ctmax,88,9,0.102272727272727,TRUE
Lipophrys pholis,ctmax,91,6,0.0659340659340659,TRUE
Lipophrys trigloides,ctmax,47,5,0.106382978723404,TRUE
Pachygrapsus marmoratus,ctmax,79,3,0.0379746835443038,TRUE
Haemulon flavolineatum,ctmax,154,1,0.00649350649350649,TRUE
Halichoeres bivittatus,ctmax,158,3,0.0189873417721519,TRUE
Alburnus alburnus,ctmax,406,16,0.0394088669950739,TRUE
Abramis brama,ctmax,675,35,0.0518518518518519,TRUE
Agabus bipustulatus,ctmax,127,7,0.0551181102362205,TRUE
Alosa aestivalis,ctmax,155,4,0.0258064516129032,TRUE
Alosa mediocris,ctmax,93,3,0.032258064516129,TRUE
Alosa pseudoharengus,ctmax,98,1,0.0102040816326531,TRUE
Alosa sapidissima,ctmax,117,6,0.0512820512820513,TRUE
Centrarchus macropterus,ctmax,55,0,0,FALSE
Chrosomus eos,ctmax,109,0,0,FALSE
Coregonus artedi,ctmax,46,1,0.0217391304347826,TRUE
Coregonus clupeaformis,ctmax,55,7,0.127272727272727,TRUE
Dorosoma cepedianum,ctmax,138,4,0.0289855072463768,TRUE
Dorosoma petenense,ctmax,88,0,0,FALSE
Enneacanthus gloriosus,ctmax,54,1,0.0185185185185185,TRUE
Erimyzon oblongus,ctmax,96,4,0.0416666666666667,TRUE
Etheostoma olmstedi,ctmax,96,4,0.0416666666666667,TRUE
Fundulus diaphanus,ctmax,225,4,0.0177777777777778,TRUE
Leiostomus xanthurus,ctmax,213,9,0.0422535211267606,TRUE
Lepisosteus osseus,ctmax,69,4,0.0579710144927536,TRUE
Lepomis macrochirus,ctmax,94,7,0.074468085106383,TRUE
Lucania parva,ctmax,162,1,0.00617283950617284,TRUE
Luxilus cornutus,ctmax,176,5,0.0284090909090909,TRUE
Menidia beryllina,ctmax,139,6,0.0431654676258993,TRUE
Morone americana,ctmax,135,12,0.0888888888888889,TRUE
Morone saxatilis,ctmax,203,48,0.236453201970443,TRUE
Mugil cephalus,ctmax,233,0,0,FALSE
Osmerus mordax,ctmax,70,5,0.0714285714285714,TRUE
Pimephales promelas,ctmax,52,1,0.0192307692307692,TRUE
Pseudopleuronectes americanus,ctmax,180,3,0.0166666666666667,TRUE
Sander vitreus,ctmax,48,38,0.791666666666667,TRUE
Scomber scombrus,ctmax,282,13,0.0460992907801418,TRUE
Semotilus atromaculatus,ctmax,128,4,0.03125,TRUE
Stenotomus chrysops,ctmax,140,3,0.0214285714285714,TRUE
Strongylura marina,ctmax,110,1,0.00909090909090909,TRUE
Lateolabrax japonicus,ctmax,55,1,0.0181818181818182,TRUE
Paralichthys californicus,ctmax,84,16,0.19047619047619,TRUE
Acipenser oxyrinchus,ctmax,82,0,0,FALSE
Pomoxis nigromaculatus,ctmax,57,9,0.157894736842105,TRUE
Umbra pygmaea,ctmax,14,1,0.0714285714285714,TRUE
Lachnolaimus maximus,ctmax,190,3,0.0157894736842105,TRUE
Lutjanus apodus,ctmax,152,13,0.0855263157894737,TRUE
Halichoeres garnoti,ctmax,119,2,0.0168067226890756,TRUE
Halichoeres radiatus,ctmax,185,1,0.00540540540540541,TRUE
Hypoplectrus aberrans,ctmax,66,2,0.0303030303030303,TRUE
Eleginus gracilis,ctmax,41,0,0,FALSE
Scomberomorus niphonius,ctmax,18,4,0.222222222222222,TRUE
Acanthogobius flavimanus,ctmax,25,2,0.08,TRUE
Engraulis mordax,ctmax,47,0,0,FALSE
Gillichthys mirabilis,ctmax,31,2,0.0645161290322581,TRUE
Girella nigricans,ctmax,105,0,0,FALSE
Leptocottus armatus,ctmax,63,5,0.0793650793650794,TRUE
Acanthurus chirurgus,ctmax,81,0,0,FALSE
Acanthurus coeruleus,ctmax,78,0,0,FALSE
Acanthurus triostegus,ctmax,7,0,0,FALSE
Archosargus rhomboidalis,ctmax,149,0,0,FALSE
Bathygobius soporator,ctmax,43,4,0.0930232558139535,TRUE
Chaetodon miliaris,ctmax,12,0,0,FALSE
Echinometra lucunter,ctmax,34,0,0,FALSE
Hippolyte obliquimanus,ctmax,21,0,0,FALSE
Menippe nodifrons,ctmax,47,1,0.0212765957446809,TRUE
Naso unicornis,ctmax,8,0,0,FALSE
Palaemon northropi,ctmax,11,0,0,FALSE
Parablennius marmoreus,ctmax,35,0,0,FALSE
Pomacanthus arcuatus,ctmax,99,0,0,FALSE
Pomacanthus paru,ctmax,111,0,0,FALSE
Scartella cristata,ctmax,72,0,0,FALSE
Scarus coelestinus,ctmax,28,0,0,FALSE
Scarus iseri,ctmax,71,0,0,FALSE
Scarus taeniopterus,ctmax,70,0,0,FALSE
Sparisoma chrysopterum,ctmax,71,0,0,FALSE
Sparisoma radians,ctmax,23,0,0,FALSE
Sparisoma rubripinne,ctmax,71,0,0,FALSE
Sparisoma viride,ctmax,71,0,0,FALSE
Cyprichromis leptosoma,ctmax,4,0,0,FALSE
Cyprichromis microlepidotus,ctmax,4,0,0,FALSE
Hemigymnus fasciatus,ctmax,5,0,0,FALSE
Macropharyngodon bipartitus,ctmax,4,0,0,FALSE
Oxycheilinus digramma,ctmax,5,0,0,FALSE
Sphoeroides maculatus,ctmax,145,3,0.0206896551724138,TRUE
Syncrossus berdmorei,ctmax,3,0,0,FALSE
Pterois volitans,ctmax,30,8,0.266666666666667,TRUE
Thunnus albacares,ctmax,143,14,0.0979020979020979,TRUE
Perissodus microlepis,ctmax,34,17,0.5,TRUE
Halichoeres poeyi,ctmax,113,3,0.0265486725663717,TRUE
Clupea harengus,ctmax,196,11,0.0561224489795918,TRUE
Ethmalosa fimbriata,ctmax,27,0,0,FALSE
Liza saliens,ctmax,37,0,0,FALSE
Pegusa lascaris,ctmax,23,1,0.0434782608695652,TRUE
Pomatoschistus minutus,ctmax,86,5,0.0581395348837209,TRUE
Syngnathus acus,ctmax,29,1,0.0344827586206897,TRUE
Apeltes quadracus,ctmax,45,1,0.0222222222222222,TRUE
Atherinella brasiliensis,ctmax,71,1,0.0140845070422535,TRUE
Azurina cyanea,ctmax,42,0,0,FALSE
Bodianus parrae,ctmax,41,0,0,FALSE
Clupea pallasii,ctmax,45,1,0.0222222222222222,TRUE
Anchoa mitchilli,ctmax,147,7,0.0476190476190476,TRUE
Cyprinodon variegatus,ctmax,15,0,0,FALSE
Lagodon rhomboides,ctmax,118,3,0.0254237288135593,TRUE
Pungitius pungitius,ctmax,26,0,0,FALSE
Syngnathus scovelli,ctmax,14,0,0,FALSE
Dikerogammarus villosus,ctmax,395,26,0.0658227848101266,TRUE
Sarpa salpa,ctmax,104,0,0,FALSE
Ameiurus catus,ctmax,122,1,0.00819672131147541,TRUE
Ameiurus natalis,ctmax,116,0,0,FALSE
Diplectrum formosum,ctmax,111,3,0.027027027027027,TRUE
Diplodus holbrookii,ctmax,16,0,0,FALSE
Elops saurus,ctmax,80,8,0.1,TRUE
Engraulis japonicus,ctmax,30,0,0,FALSE
Chanodichthys erythropterus,ctmax,19,5,0.263157894736842,TRUE
Lutjanus guttatus,ctmax,31,1,0.032258064516129,TRUE
Archosargus probatocephalus,ctmax,25,1,0.04,TRUE
Cynoscion nebulosus,ctmax,141,16,0.113475177304965,TRUE
Euthynnus alletteratus,ctmax,78,6,0.0769230769230769,TRUE
Lepomis auritus,ctmax,28,1,0.0357142857142857,TRUE
Sciaenops ocellatus,ctmax,134,19,0.141791044776119,TRUE
Carlia longipes,ctmax,1,0,0,FALSE
Crotaphytus collaris,ctmax,4,0,0,FALSE
Pseudophryne corroboree,ctmax,1,0,0,FALSE
Zootoca vivipara,ctmax,4,0,0,FALSE
Agapetus fuscipes,ctmax,141,0,0,FALSE
Drusus annulatus,ctmax,132,0,0,FALSE
Elmis aenea,ctmax,162,0,0,FALSE
Leuctra fusca,ctmax,135,0,0,FALSE
Limnius volckmari,ctmax,159,0,0,FALSE
Phoxinus phoxinus,ctmax,894,41,0.0458612975391499,TRUE
Rhithrogena semicolorata,ctmax,154,0,0,FALSE
Liza richardsonii,ctmax,26,0,0,FALSE
Caenis luctuosa,ctmax,69,0,0,FALSE
Ampullaceana balthica,ctmax,64,0,0,FALSE
Simulium vittatum,ctmax,42,0,0,FALSE
Ancylus fluviatilis,ctmax,83,0,0,FALSE
Asellus aquaticus,ctmax,73,0,0,FALSE
Ephemera danica,ctmax,80,0,0,FALSE
Gobio gobio,ctmax,717,38,0.0529986052998605,TRUE
Heptagenia sulphurea,ctmax,85,0,0,FALSE
Leuciscus leuciscus,ctmax,631,33,0.05229793977813,TRUE
Electrona antarctica,ctmax,35,0,0,FALSE
Oncorhynchus nerka,ctmax,68,2,0.0294117647058824,TRUE
Potamopyrgus antipodarum,ctmax,132,1,0.00757575757575758,TRUE
Baetis rhodani,ctmax,78,0,0,FALSE
Blicca bjoerkna,ctmax,595,30,0.0504201680672269,TRUE
Cobitis bilineata,ctmax,565,29,0.0513274336283186,TRUE
Cobitis taenia,ctmax,565,29,0.0513274336283186,TRUE
Cottus gobio,ctmax,709,39,0.0550070521861777,TRUE
Parachondrostoma toxostoma,ctmax,567,29,0.0511463844797178,TRUE
Pseudorasbora parva,ctmax,578,29,0.0501730103806228,TRUE
Rutilus aula,ctmax,567,29,0.0511463844797178,TRUE
Rutilus pigus,ctmax,570,29,0.0508771929824561,TRUE
Sabanejewia larvata,ctmax,566,29,0.0512367491166078,TRUE
Telestes muticellus,ctmax,565,29,0.0513274336283186,TRUE
Telestes souffia,ctmax,566,29,0.0512367491166078,TRUE
Tinca tinca,ctmax,645,38,0.0589147286821705,TRUE
Petromyzon marinus,ctmax,44,23,0.522727272727273,TRUE
Ictalurus furcatus,ctmax,36,8,0.222222222222222,TRUE
Catostomus macrocheilus,ctmax,8,1,0.125,TRUE
Cottus asper,ctmax,11,7,0.636363636363636,TRUE
Ptychocheilus oregonensis,ctmax,25,13,0.52,TRUE
Gopherus agassizii,ctmax,15,0,0,FALSE
Sauromalus ater,ctmax,3,0,0,FALSE
Dentex angolensis,ctmax,72,0,0,FALSE
Ctenopharyngodon idella,ctmax,30,0,0,FALSE
Rhyacophila dorsalis,ctmax,235,7,0.0297872340425532,TRUE
Thamnophis sirtalis,ctmax,129,23,0.178294573643411,TRUE
Coluber constrictor,ctmax,91,20,0.21978021978022,TRUE
Pseudonaja textilis,ctmax,51,20,0.392156862745098,TRUE
Austrelaps superbus,ctmax,18,9,0.5,TRUE
Piaractus mesopotamicus,ctmax,73,0,0,FALSE
Pimephales notatus,ctmax,15,1,0.0666666666666667,TRUE
Gobiomorphus breviceps,ctmax,50,1,0.02,TRUE
Salvelinus alpinus,ctmax,170,25,0.147058823529412,TRUE
Chaetodon sedentarius,ctmax,87,0,0,FALSE
Chaetodon baronessa,ctmax,4,0,0,FALSE
Chaetodon trifascialis,ctmax,3,0,0,FALSE
Chaetodon lunula,ctmax,21,0,0,FALSE
Chaetodon plebeius,ctmax,5,0,0,FALSE
Phrurolithus festivus,ctmax,37,0,0,FALSE
Agkistrodon contortrix,ctmax,32,6,0.1875,TRUE
Gambusia affinis,ctmax,80,11,0.1375,TRUE
Sterechinus neumayeri,ctmax,131,1,0.00763358778625954,TRUE
Paralabrax clathratus,ctmax,52,5,0.0961538461538462,TRUE
Trematomus bernacchii,ctmax,147,3,0.0204081632653061,TRUE
Prenolepis imparis,ctmax,49,4,0.0816326530612245,TRUE
Monomorium floricola,ctmax,15,0,0,FALSE
Nacella concinna,ctmax,10,0,0,FALSE
Notothenia coriiceps,ctmax,172,8,0.0465116279069768,TRUE
Ictalurus punctatus,ctmax,52,20,0.384615384615385,TRUE
Labeobarbus acutirostris,ctmax,3,0,0,FALSE
Oncorhynchus kisutch,ctmax,91,22,0.241758241758242,TRUE
Erythemis simplicicollis,ctmax,70,3,0.0428571428571429,TRUE
Tautoga onitis,ctmax,54,3,0.0555555555555556,TRUE
Tautogolabrus adspersus,ctmax,14,2,0.142857142857143,TRUE
Trematomus hansoni,ctmax,112,6,0.0535714285714286,TRUE
Linepithema humile,ctmax,32,4,0.125,TRUE
Oncorhynchus keta,ctmax,63,1,0.0158730158730159,TRUE
Hiodon alosoides,ctmax,20,7,0.35,TRUE
Anax imperator,ctmax,10,3,0.3,TRUE
Hagenius brevistylus,ctmax,29,4,0.137931034482759,TRUE
Anax junius,ctmax,44,5,0.113636363636364,TRUE
Pylodictis olivaris,ctmax,26,12,0.461538461538462,TRUE
Bathyclarias worthingtoni,ctmax,10,0,0,FALSE
Labidochromis caeruleus,ctmax,4,0,0,FALSE
Mastacembelus shiranus,ctmax,8,0,0,FALSE
Bagrus docmak,ctmax,32,5,0.15625,TRUE
Hemachatus haemachatus,ctmax,4,1,0.25,TRUE
Alburnus arborella,ctmax,362,14,0.0386740331491713,TRUE
Dinocras cephalotes,ctmax,436,27,0.0619266055045872,TRUE
Leucaspius delineatus,ctmax,368,15,0.0407608695652174,TRUE
Thymallus thymallus,ctmax,494,30,0.0607287449392713,TRUE
Solenopsis invicta,ctmax,37,4,0.108108108108108,TRUE
Eucidaris tribuloides,ctmax,53,0,0,FALSE
Holacanthus tricolor,ctmax,73,0,0,FALSE
Anolis carolinensis,ctmax,38,3,0.0789473684210526,TRUE
Polyodon spathula,ctmax,10,0,0,FALSE
Halichoeres californicus,ctmax,21,0,0,FALSE
Piaractus brachypomus,ctmax,16,0,0,FALSE
Littorina saxatilis,ctmax,39,0,0,FALSE
Alosa macedonica,ctmax,4,3,0.75,TRUE
Leuciscus idus,ctmax,6,3,0.5,TRUE
Sander canadensis,ctmax,20,17,0.85,TRUE
Scomberomorus commerson,ctmax,17,4,0.235294117647059,TRUE
Brycon amazonicus,ctmax,36,0,0,FALSE
Acanthocybium solandri,ctmax,57,9,0.157894736842105,TRUE
Crotalus atrox,ctmax,71,8,0.112676056338028,TRUE
Varanus gouldii,ctmax,51,6,0.117647058823529,TRUE
Varanus varius,ctmax,17,0,0,FALSE
Thunnus obesus,ctmax,66,9,0.136363636363636,TRUE
Xiphias gladius,ctmax,136,11,0.0808823529411765,TRUE
Boops boops,ctmax,15,0,0,FALSE
Acanthurus xanthopterus,ctmax,11,0,0,FALSE
Acipenser brevirostrum,ctmax,65,0,0,FALSE
Anguilla rostrata,ctmax,47,8,0.170212765957447,TRUE
Dicentrarchus labrax,ctmax,35,7,0.2,TRUE
Fundulus heteroclitus,ctmax,45,0,0,FALSE
Trinectes maculatus,ctmax,32,1,0.03125,TRUE
Crangon crangon,ctmax,147,9,0.0612244897959184,TRUE
Ctenolabrus rupestris,ctmax,66,3,0.0454545454545455,TRUE
Labrus bergylta,ctmax,188,2,0.0106382978723404,TRUE
Mullus surmuletus,ctmax,184,5,0.0271739130434783,TRUE
Pagellus bogaraveo,ctmax,97,3,0.0309278350515464,TRUE
Pagurus bernhardus,ctmax,52,1,0.0192307692307692,TRUE
Symphodus melops,ctmax,99,5,0.0505050505050505,TRUE
Zoarces viviparus,ctmax,32,7,0.21875,TRUE
Canthigaster valentini,ctmax,6,0,0,FALSE
Oncorhynchus tshawytscha,ctmax,119,19,0.159663865546218,TRUE
Thunnus alalunga,ctmax,77,7,0.0909090909090909,TRUE
Gammarus fossarum,ctmax,1,0,0,FALSE
Cyprinella spiloptera,ctmax,44,1,0.0227272727272727,TRUE
Luciobarbus longiceps,ctmax,17,0,0,FALSE
Acipenser transmontanus,ctmax,17,3,0.176470588235294,TRUE
Serranus atricauda,ctmax,24,8,0.333333333333333,TRUE
Scorpaena porcus,ctmax,56,7,0.125,TRUE
Coregonus lavaretus,ctmax,34,2,0.0588235294117647,TRUE
Plecodus straeleni,ctmax,45,39,0.866666666666667,TRUE
Deronectes latus,ctmax,6,0,0,FALSE
Megalops cyprinoides,ctmax,13,2,0.153846153846154,TRUE
Amia calva,ctmax,22,13,0.590909090909091,TRUE
Paralichthys olivaceus,ctmax,34,3,0.0882352941176471,TRUE
Istiompax indica,ctmax,18,6,0.333333333333333,TRUE
Thamnophis elegans,ctmax,57,22,0.385964912280702,TRUE
Thamnophis ordinoides,ctmax,5,0,0,FALSE
Notophthalmus viridescens,ctmax,6,0,0,FALSE
Helobdella stagnalis,ctmax,26,4,0.153846153846154,TRUE
Esox masquinongy,ctmax,22,17,0.772727272727273,TRUE
Esox niger,ctmax,14,2,0.142857142857143,TRUE
Micropterus dolomieu,ctmax,44,28,0.636363636363636,TRUE
Anguilla dieffenbachii,ctmax,27,1,0.037037037037037,TRUE
Lethocerus americanus,ctmax,15,4,0.266666666666667,TRUE
Paralichthys lethostigma,ctmax,50,7,0.14,TRUE
Hypsoblennius hentz,ctmax,35,3,0.0857142857142857,TRUE
Microgadus tomcod,ctmax,17,0,0,FALSE
Acipenser medirostris,ctmax,8,0,0,FALSE
Hypomesus transpacificus,ctmax,10,0,0,FALSE
Lepidopsetta bilineata,ctmax,30,1,0.0333333333333333,TRUE
Oncorhynchus clarkii,ctmax,41,10,0.24390243902439,TRUE
Oncorhynchus gorbuscha,ctmax,64,2,0.03125,TRUE
Salvelinus leucomaenis,ctmax,17,3,0.176470588235294,TRUE
Myoxocephalus quadricornis,ctmax,19,6,0.315789473684211,TRUE
Osmerus eperlanus,ctmax,39,3,0.0769230769230769,TRUE
Liza aurata,ctmax,28,0,0,FALSE
Crotalus cerastes,ctmax,55,11,0.2,TRUE
Pituophis catenifer,ctmax,90,6,0.0666666666666667,TRUE
Crotalus scutulatus,ctmax,24,8,0.333333333333333,TRUE
Crotalus viridis,ctmax,21,3,0.142857142857143,TRUE
Heloderma suspectum,ctmax,15,1,0.0666666666666667,TRUE
Pterygoplichthys pardalis,ctmax,4,0,0,FALSE
Cymatogaster aggregata,ctmax,39,0,0,FALSE
Liopsetta glacialis,ctmax,17,1,0.0588235294117647,TRUE
Siganus canaliculatus,ctmax,12,0,0,FALSE
Diplodus vulgaris,ctmax,46,1,0.0217391304347826,TRUE
Hypsurus caryi,ctmax,27,0,0,FALSE
Arizona elegans,ctmax,34,14,0.411764705882353,TRUE
Poecilia reticulata,ctmax,13,0,0,FALSE
Stegastes variabilis,ctmax,6,0,0,FALSE
Hemidactylus frenatus,ctmax,15,2,0.133333333333333,TRUE
Misumenoides formosipes,ctmax,49,0,0,FALSE
Rana catesbeiana,ctmax,8,0,0,FALSE
Anax longipes,ctmax,4,1,0.25,TRUE
Anaxyrus boreas,ctmax,21,3,0.142857142857143,TRUE
Pseudacris regilla,ctmax,16,2,0.125,TRUE
Armadillidium vulgare,ctmax,4,1,0.25,TRUE
Megalops atlanticus,ctmax,15,0,0,FALSE
Atractosteus spatula,ctmax,14,6,0.428571428571429,TRUE
Alosa alosa,ctmax,16,1,0.0625,TRUE
Chondrostoma soetta,ctmax,56,6,0.107142857142857,TRUE
Lepomis gulosus,ctmax,10,1,0.1,TRUE
Neochanna burrowsius,ctmax,10,0,0,FALSE
Cichlasoma urophthalmum,ctmax,11,0,0,FALSE
Gobiomorphus hubbsi,ctmax,7,0,0,FALSE
Synodontis schall,ctmax,9,0,0,FALSE
Xyrichtys splendens,ctmax,7,0,0,FALSE
Astatotilapia burtoni,ctmax,11,0,0,FALSE
Brienomyrus brachyistius,ctmax,18,0,0,FALSE
Clarias ngamensis,ctmax,6,0,0,FALSE
Oreochromis niloticus,ctmax,47,2,0.0425531914893617,TRUE
Daphnia magna,ctmax,13,0,0,FALSE
Daphnia pulicaria,ctmax,3,0,0,FALSE
Sparus aurata,ctmax,67,2,0.0298507462686567,TRUE
Anolis cristatellus,ctmax,6,1,0.166666666666667,TRUE
Anolis sagrei,ctmax,22,2,0.0909090909090909,TRUE
Anabas testudineus,ctmax,11,0,0,FALSE
Anisops sardeus,ctmax,1,0,0,FALSE
Allothunnus fallai,ctmax,23,0,0,FALSE
Chaenocephalus aceratus,ctmax,22,5,0.227272727272727,TRUE
Galaxias vulgaris,ctmax,34,1,0.0294117647058824,TRUE
Cheimarrichthys fosteri,ctmax,10,0,0,FALSE
Lymnaea stagnalis,ctmax,7,0,0,FALSE
Formica aserva,ctmax,2,0,0,FALSE
Tapinoma sessile,ctmax,10,0,0,FALSE
Galaxias depressiceps,ctmax,19,0,0,FALSE
Anoplolepis gracilipes,ctmax,37,0,0,FALSE
Lepechinia calycina,ctmax,1,0,0,FALSE
Pogonomyrmex californicus,ctmax,4,0,0,FALSE
Sceloporus grammicus,ctmax,1,0,0,FALSE
Sceloporus magister,ctmax,1,0,0,FALSE
Sceloporus occidentalis,ctmax,10,0,0,FALSE
Channa punctata,ctmax,21,9,0.428571428571429,TRUE
Paralabrax humeralis,ctmax,15,0,0,FALSE
Pomoxis annularis,ctmax,11,4,0.363636363636364,TRUE
Fundulus grandis,ctmax,52,5,0.0961538461538462,TRUE
Lepomis punctatus,ctmax,6,0,0,FALSE
Trimeresurus gracilis,ctmax,8,3,0.375,TRUE
Halichoeres trimaculatus,ctmax,9,0,0,FALSE
Pomatoschistus microps,ctmax,44,5,0.113636363636364,TRUE
Paralabrax nebulifer,ctmax,27,0,0,FALSE
Calopteryx virgo,ctmax,53,0,0,FALSE
Crangonyx pseudogracilis,ctmax,20,1,0.05,TRUE
Serratella ignita,ctmax,113,0,0,FALSE
Planiliza macrolepis,ctmax,17,0,0,FALSE
Aphredoderus sayanus,ctmax,15,0,0,FALSE
Oreochromis mossambicus,ctmax,45,1,0.0222222222222222,TRUE
Ambloplites rupestris,ctmax,75,6,0.08,TRUE
Chrosomus cumberlandensis,ctmax,3,0,0,FALSE
Clarias gariepinus,ctmax,36,4,0.111111111111111,TRUE
Cyprinella lutrensis,ctmax,5,1,0.2,TRUE
Devario devario,ctmax,14,0,0,FALSE
Erimyzon sucetta,ctmax,6,0,0,FALSE
Hemichromis elongatus,ctmax,4,0,0,FALSE
Hypentelium nigricans,ctmax,8,0,0,FALSE
Hypseleotris klunzingeri,ctmax,13,0,0,FALSE
Micralestes acutidens,ctmax,4,0,0,FALSE
