resource,consumer,GloBI,TetraEU,interaction_sources,interaction_types,study_titles,study_citations,study_ids,reported_consumer_names,reported_resource_names,self_link,consumer_trait_value_ctmax,consumer_trait_value_ctmin,consumer_trait_value_lt50,consumer_trait_value_ltmax,consumer_trait_sd_ctmax,consumer_trait_sd_ctmin,consumer_trait_sd_lt50,consumer_trait_sd_ltmax,consumer_trait_n_ctmax,consumer_trait_n_ctmin,consumer_trait_n_lt50,consumer_trait_n_ltmax,consumer_selected_trait_source_ctmax,consumer_selected_trait_source_ctmin,consumer_selected_trait_source_lt50,consumer_selected_trait_source_ltmax,resource_trait_value_ctmax,resource_trait_value_ctmin,resource_trait_value_lt50,resource_trait_value_ltmax,resource_trait_sd_ctmax,resource_trait_sd_ctmin,resource_trait_sd_lt50,resource_trait_sd_ltmax,resource_trait_n_ctmax,resource_trait_n_ctmin,resource_trait_n_lt50,resource_trait_n_ltmax,resource_selected_trait_source_ctmax,resource_selected_trait_source_ctmin,resource_selected_trait_source_lt50,resource_selected_trait_source_ltmax,eligible_ctmax,eligible_lt50,eligible_ctmin,eligible_ltmax,any_metric_eligible
Esox lucius,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Esox lucius,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,28.98,,25.5,,,,2.90784379834192,,1,,19,,ComteOlden,,ThermoFresh,,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus fossarum,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gammarus fossarum,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,28.774,,,32.6688888888889,2.15601020405749,,,1.14839501527615,5,,,9,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus pulex,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gammarus lacustris;Gammarus pulex,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,29.1161111111111,,25.5,35.1108333333333,1.89569834684272,,0.5,1.59206817084133,18,,3,12,ThermoFresh,,ThermoFresh,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus roeselii,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gammarus roeselii,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,30.184,,,33.38,0.717028590782823,,,0.521536192416213,5,,,5,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus tigrinus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gammarus tigrinus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,32.6985714285714,,,36.2254545454545,1.21293622491633,,,1.12729200863276,7,,,11,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gasterosteus aculeatus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gasterosteus aculeatus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,31.6655882352941,,,,1.63931099934841,,,,34,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Gobio gobio,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gobio gobio,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,33.75,,,,4.17193000900063,,,,2,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Gymnocephalus cernua,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Gymnocephalus cernua,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.5,,,,,,,,1,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Heptagenia sulphurea,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Heptagenia sulphurea,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,30.2,,,32.3,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Hydropsyche pellucidula,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Hydropsyche pellucidula,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,25.5,,,32.3,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Hypophthalmichthys molitrix,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Hypophthalmichthys molitrix,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,36.27,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Hypophthalmichthys nobilis,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Hypophthalmichthys nobilis,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,37.92,,,38.8,,,,,1,,,1,ComteOlden,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Ischnura elegans,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Ischnura elegans,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,43.7361538461539,,,,2.23359830489548,,,,52,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Ischnura pumilio,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Ischnura pumilio,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,45.515,,,,0.20174241001832,,,,4,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Lepomis gibbosus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Lepomis gibbosus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,33.8035,1.7,,,2.64155112924604,,,,20,1,,,ThermoFresh,GlobTherm,,,TRUE,FALSE,FALSE,FALSE,TRUE
Leucaspius delineatus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Leucaspius delineatus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.3566666666667,,,,2.61653078203436,,,,3,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Leuciscus aspius,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Leuciscus aspius,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.92,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Leuciscus leuciscus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Leuciscus leuciscus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,32.57,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Leuctra fusca,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Leuctra fusca,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,30.1,,,34.8,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Lota lota,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Lota lota,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,27.11875,3.3,,,2.86640744952051,,,,16,1,,,ThermoFresh,ThermoFresh,,,TRUE,FALSE,FALSE,FALSE,TRUE
Micropterus salmoides,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Micropterus salmoides,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,36.4,8.30333333333333,35.6,,3.07959690108474,2.62735246063046,,,42,15,1,,ThermoFresh,ThermoFresh,ThermoFresh,,TRUE,FALSE,FALSE,FALSE,TRUE
Nemurella pictetii,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Nemurella pictetii,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,30.1,,,33.1,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Neogobius melanostomus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Neogobius melanostomus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,33.726,,,,1.51039524400186,,,,30,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Oncorhynchus mykiss,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Oncorhynchus mykiss,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,28.6755405405405,0.733333333333333,,,1.50455030544732,1.10151410945722,,,74,3,,,ThermoFresh,ThermoFresh,,,TRUE,FALSE,FALSE,FALSE,TRUE
Padogobius bonelli,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Padogobius bonelli,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,31.74,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Parachondrostoma toxostoma,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Parachondrostoma toxostoma,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.17,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Perca fluviatilis,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Perca fluviatilis,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,28.6920833333333,,,,3.60894779217803,,,,24,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Phoxinus lumaireul,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Phoxinus lumaireul;Phoxinus phoxinus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,29.52,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Ponticola kessleri,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Ponticola kessleri,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.03,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Pseudorasbora parva,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Pseudorasbora parva,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,38.515,,,,2.9579441058501,,,,4,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Rhithrogena semicolorata,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Rhithrogena semicolorata,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,25.33,,23.55,,9.43280446102854,,1.62634559672906,,2,,2,,ThermoFresh,,ThermoFresh,,TRUE,FALSE,FALSE,FALSE,TRUE
Rhodeus amarus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Rhodeus amarus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.1,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Rhyacophila dorsalis,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Rhyacophila dorsalis,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,22,,,24.6,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Rutilus aula,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Rutilus aula,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,32.32,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Rutilus pigus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Rutilus pigus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,33.59,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Rutilus rutilus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Rutilus rutilus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,28.5058333333333,,30.168,,4.13573390434349,,1.76138297936593,,24,,5,,ThermoFresh,,ThermoFresh,,TRUE,FALSE,FALSE,FALSE,TRUE
Sabanejewia larvata,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Sabanejewia larvata,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,32.71,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salariopsis fluviatilis,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salariopsis fluviatilis,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.96,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salmo labrax,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salmo labrax,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,32.32,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salmo marmoratus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salmo marmoratus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,30.21,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salmo salar,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salmo salar,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,30.3326495726496,1,,,2.3513295553508,,,,117,1,,,ThermoFresh,GlobTherm,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salmo trutta,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salmo trutta,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,27.6830769230769,,,,2.23002142289232,,,,39,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salvelinus fontinalis,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salvelinus fontinalis,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,28.9883333333333,,,,1.07282766342144,,,,30,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Salvelinus namaycush,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Salvelinus namaycush,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,27.385,,,,1.22843531914926,,,,16,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Sander lucioperca,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Sander lucioperca,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,35.4428571428571,,,,1.64403684352181,,,,7,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Scardinius erythrophthalmus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Scardinius erythrophthalmus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,34.94,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Serratella ignita,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Serratella ignita,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,32.3,,,35,4.90990156045244,,,,4,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Silurus glanis,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Silurus glanis,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,36.15,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Squalius cephalus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Squalius cephalus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,36.48,,,,2.47325696198353,,,,5,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Telestes muticellus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Telestes muticellus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,33.48,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Telestes souffia,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Telestes souffia,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,33.18,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Thymallus thymallus,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Thymallus thymallus,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,29.4333333333333,,,,0.74475946900101,,,,6,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Tinca tinca,Barbus barbus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus barbus,Tinca tinca,FALSE,29.2,,,,,,,,1,,,,ThermoFresh,,,,35.6875,,,,3.12384264282676,,,,8,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Agapetus fuscipes,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Agapetus fuscipes,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,25.8,,,35.2,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Baetis rhodani,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Baetis rhodani,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,25.1,,21.15,25.7,,,0.212132034355965,,1,,2,1,ThermoFresh,,ThermoFresh,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Caenis luctuosa,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Caenis luctuosa,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,30.6,,,38,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Calopteryx virgo,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Calopteryx virgo,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,34.0225,,,38.9,4.61882733051268,,,,12,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Coenagrion puella,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Coenagrion puella,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,42.995,,,,0.723440852224053,,,,4,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Dikerogammarus villosus,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Dikerogammarus villosus,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,28.1328571428571,,23.4,33.1654545454545,1.5628255851258,,,2.01883809968191,7,,1,11,ThermoFresh,,ThermoFresh,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Dinocras cephalotes,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Dinocras cephalotes,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,34.6083333333333,,,,3.75974688864379,,,,6,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Drusus annulatus,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Drusus annulatus,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,28.8,,,33.8,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Ephemera danica,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Ephemera danica,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,36.7075,,,38.7,2.23948468774999,,,,4,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus fossarum,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Gammarus fossarum,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,28.774,,,32.6688888888889,2.15601020405749,,,1.14839501527615,5,,,9,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus pulex,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Gammarus lacustris;Gammarus pulex,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,29.1161111111111,,25.5,35.1108333333333,1.89569834684272,,0.5,1.59206817084133,18,,3,12,ThermoFresh,,ThermoFresh,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus roeselii,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Gammarus roeselii,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,30.184,,,33.38,0.717028590782823,,,0.521536192416213,5,,,5,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Gammarus tigrinus,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Gammarus tigrinus,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,32.6985714285714,,,36.2254545454545,1.21293622491633,,,1.12729200863276,7,,,11,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Heptagenia sulphurea,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Heptagenia sulphurea,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,30.2,,,32.3,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Hydropsyche pellucidula,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Hydropsyche pellucidula,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,25.5,,,32.3,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Ischnura elegans,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Ischnura elegans,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,43.7361538461539,,,,2.23359830489548,,,,52,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Leuctra fusca,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Leuctra fusca,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,30.1,,,34.8,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Nemurella pictetii,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Nemurella pictetii,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,30.1,,,33.1,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Rhithrogena semicolorata,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Rhithrogena semicolorata,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,25.33,,23.55,,9.43280446102854,,1.62634559672906,,2,,2,,ThermoFresh,,ThermoFresh,,TRUE,FALSE,FALSE,FALSE,TRUE
Rhyacophila dorsalis,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Rhyacophila dorsalis,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,22,,,24.6,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Serratella ignita,Barbus caninus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus caninus,Serratella ignita,FALSE,32.7,,,,,,,,1,,,,ComteOlden,,,,32.3,,,35,4.90990156045244,,,,4,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Abramis brama,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Abramis brama,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,30.32,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Acipenser naccarii,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Acipenser naccarii,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,33.83,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Acipenser sturio,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Acipenser sturio,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,32.52,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Agabus bipustulatus,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Agabus bipustulatus,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,37.07,,,,0.91923881554251,,,,2,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Agapetus fuscipes,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Agapetus fuscipes,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,25.8,,,35.2,,,,,1,,,1,ThermoFresh,,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Alburnus alburnus,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Alburnus alburnus,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,37.7,,,,,,,,1,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Alburnus arborella,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Alburnus arborella,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,35.64,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Alosa fallax,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Alosa fallax,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,32.31,,,,,,,,1,,,,ComteOlden,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Anguilla anguilla,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Anguilla anguilla,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,35.12,0.933333333333333,,36.15,,1.57818461108537,,2.38809547547831,1,6,,6,ComteOlden,ThermoFresh,,ThermoFresh,TRUE,FALSE,FALSE,FALSE,TRUE
Aphelocheirus aestivalis,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Aphelocheirus aestivalis,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,34.53,,,,3.44110032236368,,,,8,,,,ThermoFresh,,,,TRUE,FALSE,FALSE,FALSE,TRUE
Astacus leptodactylus,Barbus plebejus,TRUE,FALSE,GloBI,preysOn,"","","",Barbus plebejus,Astacus leptodactylus,FALSE,32.5,,,,,,,,1,,,,ComteOlden,,,,37.8666666666667,1.46666666666667,,,0.723417813807026,0.472581562625261,,,3,3,,,ThermoFresh,ThermoFresh,,,TRUE,FALSE,FALSE,FALSE,TRUE
